token,n
Ukraine,6811
Russia,3590
Donbas,308
Ukrainian,226
Mariupol,192
Crimea,178
Poland,166
the United States,157
Kyiv,146
the Russian Federation,143
Moscow,133
France,129
Luhansk,125
Germany,114
Canada,108
Odesa,102
Netherlands,89
Italy,78
Lviv,69
Norway,67
Denmark,60
Dnipropetrovsk,59
Estonia,59
Leyen,58
Japan,56
Lithuania,55
Switzerland,55
Zhytomyr,55
America,54
Israel,52
Britain,51
Sweden,49
Bakhmut,48
Finland,48
Latvia,47
Moldova,47
Georgia,46
Türkiye,46
Australia,45
Iran,44
Spain,43
Romania,41
the United Kingdom,41
Glory,40
Donetsk,38
Mykolaiv,37
the United States of America,37
US,35
Vinnytsia,34
the Czech Republic,34
Greece,33
UK,33
Belarus,31
Great Britain,31
London,31
Bucha,30
Chernihiv,30
Ethiopia,30
Ireland,30
Austria,29
Слава Україні,28
Belgium,27
India,27
Indonesia,27
Kherson,27
Tavria,27
China,26
Turkey,26
Bulgaria,24
Irpin,24
Syria,24
Borodyanka,23
Slovakia,23
Warsaw,23
Lysychansk,22
Portugal,22
Berdyansk,21
Khortytsia,21
Maryinka,21
Kakhovka,20
Izyum,19
Paris,19
Washington,19
Cherkasy,18
Davos,18
Melitopol,18
Slovenia,18
Somalia,18
Brussels,17
Egypt,17
Iceland,17
Ternopil,17
United Kingdom,17
Volnovakha,17
Yemen,17
Zakarpattia,17
Avdiyivka,16
Croatia,16
Hungary,15
Khmelnytskyi,15
The Hague,15
Dnipro,14
Nuremberg,14
Berlin,13
Luxembourg,13
New Zealand,13
Prague,13
Albania,12
Hostomel,12
Libya,12
New York,12
Snake Island,12
Soledar,12
The United States,12
U.S.,12
Babyn Yar,11
Kazakhstan,11
Uman,11
Kharkiv,10
Munich,10
Qatar,10
us,10
Afghanistan,9
Algeria,9
Brazil,9
Gitanas,9
Kenya,9
Lebanon,9
Rome,9
Saudi Arabia,9
Sudan,9
Ukrzaliznytsia,9
Yalta,9
Zmiinyi Island,9
the Soviet Union,9
Izium,8
Olenivka,8
Severodonetsk,8
Skovoroda,8
USA,8
Yahidne,8
Bangladesh,7
Budapest,7
Chornobyl,7
Chornomorsk,7
Heroes,7
Kupyansk,7
Lugano,7
Mexico,7
Montenegro,7
Morocco,7
Zaporizhzhia,7
the Netherlands,7
the Republic of Korea,7
Boris,6
Chile,6
Gazprom,6
Kreminna,6
Minsk,6
Okhtyrka,6
Sumy,6
Svatove,6
Toronto,6
n’t,6
the Baltic States,6
the United Arab Emirates,6
Україні,6
Azerbaijan,5
Costa Rica,5
Frankfurt,5
Giorgia,5
Grain,5
Guatemala,5
Hiroshima,5
Homeland,5
Korea,5
Lyman,5
Madrid,5
Makariv,5
Malta,5
North Korea,5
Scholz,5
The Czech Republic,5
Tunisia,5
Ursula,5
the African Union,5
Abkhazia,4
Chechnya,4
Congo,4
Cyprus,4
Czech Republic,4
Dagestan,4
Drobytsky Yar,4
Ecuador,4
Helsinki,4
Iraq,4
Leningrad,4
Maksym,4
Mejlis,4
Natolin,4
North Africa,4
Okhmatdyt,4
Pakistan,4
Roberta,4
Rzeszów,4
Sloviansk,4
Slovyansk,4
Tbilisi,4
The United Kingdom,4
Vienna,4
the Republic of Cyprus,4
160th Odesa,3
Argentina,3
Bahrain,3
Bayraktar,3
Berdiansk,3
Bilohorivka,3
Bratislava,3
California,3
Cambodia,3
Chernivtsi,3
Colombia,3
Diia,3
Horlivka,3
Istanbul,3
Kalibr,3
Kozarovychi,3
Kramatorsk,3
Kremenchuk,3
Liverpool,3
Magdeburg,3
Miami,3
Monastyrskyi,3
Naftogaz,3
Nazi Germany,3
North Macedonia,3
Pivdenny,3
Pivdennyi,3
Pryazovia,3
Rubizhne,3
Seimas,3
Senegal,3
Singapore,3
Slovak,3
Smolensk,3
Sydney,3
Tarnavskyi,3
Tehran,3
Transnistria,3
USSR,3
Ukraine Ruslan,3
Ukrainianness,3
Ukrenergo,3
United States,3
Vietnam,3
Vovchansk,3
Vyshhorod,3
the Republic of Latvia,3
the Republic of Lithuania,3
the Republic of Poland,3
’s,3
137th,2
Aachen,2
Amsterdam,2
Auchan,2
Beijing,2
Belfast,2
Birmingham,2
Bombing,2
Bruges,2
Buchenwald,2
Chicago,2
Chornobayivka,2
Danilov,2
Dresden,2
Emmanuel,2
Energoatom,2
Eritrea,2
Florence,2
Gotland,2
