token,n
the European Union,402
EU,262
NATO,194
Mariupol,147
UN,147
the Armed Forces of Ukraine,130
Kremlin,99
the European Commission,86
the National Guard,66
Dear Ukrainians,64
IAEA,64
Alliance,59
Hero of Ukraine,57
the European Council,57
Crimea,55
the UN Security Council,55
Congress,54
the Security Service of Ukraine,53
Bakhmut,47
the International Criminal Court,47
the UN General Assembly,44
The Armed Forces of Ukraine,37
the State Emergency Service,36
Chornobyl,35
Azovstal,31
Tribunal,31
the Security Service,31
Poltava,30
Slovakia,29
Euro - Atlantic,27
the United Nations,27
the European Parliament,25
Armed Forces,24
National Guard,24
Fellow Ukrainians,23
MLRS,23
Parliament,23
the Main Intelligence Directorate,23
the National Security and Defense Council,23
Formula,22
Kharkiv,22
The European Union,22
the Armed Forces,22
Air Force,21
NPP,21
European Union,20
Patriots,19
Dnipro,18
the Air Force,17
the National Police,17
Air Forces,16
Justice,16
Navy,16
Senate,16
NASAMS,15
OSCE,15
Office,15
Slovyansk,15
the NATO Summit,15
the Security Council,15
G20,14
Türkiye Erdoğan,14
UNESCO,14
the Special Tribunal,14
the World Bank,14
Easter,13
Lend - Lease,13
Special Tribunal,13
ZNPP,13
the International Committee of the Red Cross,13
Separate Mechanized Brigade,12
the Council of Europe,12
Bucha,11
Internal Affairs,11
Organization,11
the Cabinet of Ministers,11
the Crimea Platform,11
the Ministry of Internal Affairs,11
the Red Cross,11
Avdiivka,10
Greetings,10
IRIS,10
Kostiantynivka,10
Olena,10
Patriot,10
Rivne,10
State,10
the General Assembly,10
Defense Forces,9
the National Guard of Ukraine,9
COVID-19,8
Copenhagen,8
Justin,8
Marhanets,8
Special Operations Forces,8
the Ground Forces,8
the International Olympic Committee,8
the Ministry of Foreign Affairs,8
Borodyanka,7
Crimean Tatar,7
Government,7
LPR,7
NABU,7
SSU,7
Saltivka,7
Separate Airborne Assault Brigade,7
Separate Marine Brigade,7
Soledar,7
The Armed Forces,7
sham referenda,7
the Council of the European Union,7
the European Union 's,7
the Peace Formula,7
Army,6
Assembly,6
Eastern,6
G19,6
IMF,6
"Kharkiv , Mykolaiv",6
Knesset,6
Kremenchuk,6
Motorized Infantry Brigade,6
NATO Summit,6
Volodymyr,6
the Air Forces,6
the European Commission 's,6
the House of Representatives,6
the International Monetary Fund,6
the Office of the President,6
the Organization for Economic Cooperation and Development,6
the Special Operations Forces,6
the State Border Guard Service,6
the UN Food Program,6
the US Congress,6
406th,5
Air Assault Brigade,5
COVID,5
Courage,5
Defense and Security Forces,5
Eternal,5
HIMARS,5
Imagine Dragons,5
Ivano - Frankivsk,5
Points of Invincibility,5
SES,5
Security Service,5
Separate Airmobile Brigade,5
Separate Assault Brigade,5
Stanford,5
The UN Security Council,5
chevron,5
the College of Europe,5
the Malaysian Boeing,5
the Ministry of Defense,5
the National Guard of,5
the National Security and Defense Council of Ukraine,5
the State Bureau of Investigation,5
the U.S. Congress,5
the UN Charter,5
the UN World Food Programme,5
the Verkhovna Rada,5
ASEAN,4
Armed Forces of Ukraine,4
Bakhmut and Soledar,4
Balakliya,4
Belarus,4
Bundestag,4
Cathedral,4
Druzhkivka,4
EBRD,4
European Commission,4
European Council,4
General Syrskyi,4
Germany Olaf Scholz,4
Harpoon,4
Lyman,4
"Malyuk , Lubinets",4
Nazis,4
Nord Stream,4
PACE,4
SBU,4
SWIFT,4
Separate Mountain Assault Brigade,4
Snihurivka,4
Stanford University,4
The Security Service of Ukraine,4
The Verkhovna Rada,4
Time,4
UNICEF,4
Ukraine Denys Shmyhal,4
Ukrainian Crimea,4
air assault brigade,4
the Border Guard Service,4
the British Parliament,4
the Civil Protection Service,4
the Crimean Tatars,4
the European Parliament Roberta Metsola,4
the Foreign Intelligence Service,4
the General Staff,4
the Global Peace Summit,4
the Istanbul Convention,4
the Main Intelligence Directorate of,4
the Office of the Prosecutor General,4
the Order of the Golden Star,4
the State Emergency Service of Ukraine,4
the US,4
the Walk of the Brave,4
Armed Forces !,3
"Bakhmut , Avdiivka",3
BlackRock,3
Chasiv Yar,3
Chatham House,3
Dear Ukrainian,3
Dnieper,3
EOD,3
EUR,3
F16,3
G7,3
Germany Scholz,3
Group,3
Hero,3
House,3
ISIS,3
Initiative,3
Interior,3
"Izyum , Kharkiv",3
Kurakhove,3
Marshall Plan,3
Moskalyov,3
NLAW,3
Nikopol,3
Paraguay,3
Respect,3
Society,3
State Emergency Service,3
Strategic Group of Troops,3
Summit,3
Sumy,3
Tavria,3
The European Commission,3
The European Parliament,3
The Government of Ukraine,3
The National Security and Defense Council,3
The Office,3
The Red Cross,3
UN General Assembly,3
United,3
United Nations,3
VAT,3
Vorzel,3
World Bank,3
Yale University,3
solidarity,3
"the "" Rebuild Ukraine """,3
the Armed Forces of Ukraine !,3
the Cabinet of Ministers of Ukraine,3
the Chamber of Deputies,3
the Congress of Local and Regional Authorities of Ukraine,3
the Congress of the United States,3
the Defense and Security Forces,3
the European Bank for Reconstruction and Development,3
the European Political Community,3
the Food and Agriculture Organization of the United Nations,3
the Gold Star Orders,3
the Government of Ukraine,3
the Ground Forces of the Armed Forces of Ukraine,3
the International Summit on Food Security,3
the Kyiv Security Compact,3
the Lend - Lease,3
the Main Intelligence Directorate Budanov,3
the Minister of Internal Affairs,3
the NATO Parliamentary Assembly,3
the National Assembly of France,3
the National Council,3
the Odessa Maritime Academy,3
the Office,3
the Peace Summit,3
the Prosecutor General,3
the Prosecutor General 's Office,3
the Specialized Anticorruption Prosecutor 's Office,3
the Three Seas Initiative Summit,3
the Ukrainian Crimea,3
the Ukrainian Navy,3
the World Economic Forum,3
129th,2
208th Kherson,2
301st Nikopol,2
55th Separate Artillery Brigade,2
79th,2
Aggression,2
Ai - Petri,2
Airborne Assault Troops,2
Allied,2
Amnesty International,2
Andriivka,2
Andriy,2
Andrzej,2
Arab League,2
"Bakhmut , Soledar",2
Bakhmut and Avdiivka,2
Bankova,2
Bilhorod - Dnistrovskyi,2
Boeing,2
"Budanov , Maliuk , Danilov",2
CSTO,2
Challenger,2
"Chernihiv ,",2
Chornobaivka,2
Citizens of Russia,2
College of Europe,2
Commonwealth,2
Congress of Local and Regional Authorities,2
Coventry,2
DPR,2
Defense,2
Defense of Ukraine Oleksiy Reznikov,2
Destroys,2
Dozor,2
Dunkirk,2
Ecumenical Patriarch Bartholomew,2
Eurojust,2
European Community,2
European Parliament,2
Forbes,2
Foundation,2
General Nayev,2
Goldman Sachs,2
Grazie Italia,2
Ground Forces,2
Group of Seven,2
Guinea - Bissau,2
HPP,2
Handziuk,2
Harvard,2
ICC,2
Iftar,2
Internal Affairs Klymenko,2
Internal Affairs Monastyrskyi,2
Iranian Shahed,2
Irpin,2
Iskander,2
Italy Draghi,2
Japan Kishida,2
Johns Hopkins,2
Karaites,2
"Kharkiv ,",2
"Kharkiv , Donetsk",2
"Kharkiv , Mariupol",2
Kharkiv and the Kharkiv region,2
Kharkiv to Kherson,2
Kherson,2
Khortytsia,2
Krasnohorivka,2
Krasnopillya,2
Luxembourg Bettel,2
MEDEF,2
MIA,2
Malyuk,2
Melitopol,2
Ministry of Defense,2
Mriia,2
Mykolaiv Regional State Administration,2
Mykolaiv and Kharkiv,2
NONhumans,2
NSDC,2
National Security Advisor,2
OECD,2
"Okhtyrka , Sumy",2
Olaf Scholz,2
Oleksandr,2
Olena Zelenska Foundation,2
Olena ’s Foundation,2
Olenivka,2
Olympic,2
Oranta,2
Pechersk Brigade,2
Point of Invincibility,2
Points,2
Polissia,2
Pryazovia,2
Rear,2
Rishi Sunak,2
Science,2
Security Council,2
Separate Brigade,2
Separate Motorized Infantry Brigade,2
Shaheds,2
Shevchenko University,2
Sicheslav Separate Airborne Brigade,2
Slavutych,2
Special International Tribunal,2
St. Sophia Cathedral,2
St. Sophia ’s,2
Starlink,2
Stus,2
The Air Force,2
The Cabinet of Ministers of Ukraine,2
The International Criminal Court,2
The Main Intelligence Directorate,2
The Prosecutor General,2
The State Emergency Service,2
Treasury,2
UEFA,2
UNESCO World Heritage Committee,2
UST,2
Ukraine Volodymyr Zelenskyy,2
Ukrainian Warrior,2
Yakiv Handziuk,2
YouTube,2
non - NATO,2
the 110th Separate Mechanized Brigade,2
the Airborne Assault Troops,2
the Arab League,2
the Church of Christ,2
the Civil Service Day,2
the Congress of Local and Regional Authorities,2
the Congress of the United States of America,2
the Council of Europe Marija Pejčinović Burić,2
the Council of the EU,2
the Cross of Combat Merit,2
the Defense Forces,2
the Defense Forces of Ukraine,2
the Defense Intelligence of Ukraine,2
the Defense Intelligence of Ukraine Kyrylo,2
the Defense and Security Forces of Ukraine,2
the Department of State,2
the European Commission Board,2
the European Peace Facility,2
the European Union for Ukraine,2
the High Council of Justice,2
the House Armed Services Committee,2
the International Red Cross,2
the International Sanctions Group,2
the International Tribunal,2
the Joint Chiefs of Staff,2
the Joint Forces Operation,2
the Land Forces,2
the Land Forces of the Armed Forces of Ukraine,2
the Lowy Institute,2
the Luxembourg Parliament,2
the Main Intelligence Directorate of Ukraine,2
the Military Administration,2
the Ministry of Defense of Ukraine,2
the Moscow Patriarchate,2
the National Guardsmen,2
the National Police of Ukraine,2
the National University of Life and Environmental Sciences,2
the Naval Forces,2
the Nuremberg Trials,2
the Nuremberg Tribunal,2
the Office of the Prosecutor of the International Criminal Court,2
the Operational Command,2
the Parliament of the Czech Republic,2
the Parliamentary Assembly of the Council of Europe,2
the Points of Invincibility,2
the Potocki Palace,2
the Republican Party,2
the Royal Family,2
the Russian Federation,2
the Security Service Malyuk,2
the Slovak Parliament,2
the State Border Service,2
the State Service of Special Communication and Information Protection of Ukraine,2
the State Service of Special Communications and Information Protection,2
the State Special Communications Service,2
the Supreme Court,2
the UN World Food Program,2
the US Senate,2
the Ukrainian Air Force,2
