docname,pre,keyword,post,id,date,id_day
text4,"may the memory of those who gave their lives for ukraine live forever . ,",i am grateful to,"everyone who saves people right now and helps maintain order in the state . ,",4,2022-02-25,1
text4,i heard a few things . the first is that we are supported . and,i am grateful to,"each state that helps ukraine concretely , not just in words . , but there",4,2022-02-25,1
text18,"russia will not strike at least missiles and air bombs at nuclear facilities . ,",i am grateful to,our heroes from the national guard who guarded the station and tried to stop the,18,2022-03-04,1
text18,from the national guard who guarded the station and tried to stop the enemy .,i am grateful to,the rescuers who extinguished the fire . but a lot depends on the common people,18,2022-03-04,1
text20,andrzej for his determination and devotion to our common cause . protection of people .,i am grateful to,andrzej's wife - agata . they are friends whom i sincerely consider friends and sincerely,20,2022-03-05,1
text20,"ursula von der leyen . the main topic is eu membership for ukraine . ,",i am grateful to,europeans - hundreds of thousands of people in different cities of our continent . bratislava,20,2022-03-05,1
text20,". they came out for peace to be reached as soon as possible . ,",i am grateful to,americans for the unwavering bipartisan majority of ordinary people . we saw the poll .,20,2022-03-05,1
text22,"will receive . , i talked about it again with president biden last night .",i am grateful to,him for his determination . for preparing more new solutions for ukrainians and europeans .,22,2022-03-06,1
text22,"sky of europe . , i spoke with the prime minister of australia . and",i am grateful to,australians for their moral stance on russian exports . there must be no port where,22,2022-03-06,1
text23,"opportunity for people to leave the cities where russia came . russian military . ,",i am grateful to,"every ukrainian who stays to defend our cities , even in the encirclement . our",23,2022-03-06,2
text24,"work . when we return our land , return peace to our land . ,",i am grateful to,all business owners and managers who continue to work and fulfill their obligations to their,24,2022-03-07,1
text28,"kingdom is also banning the import of oil and petroleum products from russia . ,",i am grateful to,prime minister boris johnson for the principled position you expect from the prime minister of,28,2022-03-08,3
text28,", so , the world cannot be fooled . sanctions cannot be avoided . ,",i am grateful to,"those russians who support us , take to the streets and fight . they are",28,2022-03-08,3
text28,"war . i know this outraged many , and not only in ukraine . ,",i am grateful to,our team . we made everything clear and quickly received assurances : there will be,28,2022-03-08,3
text30,consequences of its actions . we are doing everything to finally secure our sky .,i am grateful to,"the vast majority of ukrainians who support this position . those who collect signatures ,",30,2022-03-09,2
text32,"a convoy of trucks to mariupol anyway . with food , water , medicine .",i am grateful to,the drivers - brave people who were ready to fulfill this mission . an extremely,32,2022-03-11,1
text36,"the city community is demanding his release . and this is very important . ,",i am grateful to,"every melitopol resident for this resistance , for this position . the invaders must see",36,2022-03-12,2
text36,"aid to mariupol . we will try every day to save our people . ,",i am grateful to,"every driver who tries to accomplish this difficult mission . , i am grateful to",36,2022-03-12,2
text36,"i am grateful to every driver who tries to accomplish this difficult mission . ,",i am grateful to,the representatives of the church who joined the efforts to protect the humanitarian corridor in,36,2022-03-12,2
text38,the people who go out to protest every day . and who want ukraine .,i am grateful to,"them . , i want to tell some figures who lacked the disgust to refuse",38,2022-03-13,1
text38,"all states . as well as ordinary people in all european countries . , and",i am grateful to,them for this extraordinary support . grateful for understanding our struggle . because we are,38,2022-03-13,1
text39,"we have to go through this war so that we all remain human . ,",i am grateful to,"all the doctors and nurses who work in kyiv and dnipro , in vinnytsia and",39,2022-03-14,1
text40,. who works in transport . who provides communication and repairs networks . . .,i am grateful to,"everyone . and i sincerely congratulate you ! , each of the volunteers . each",40,2022-03-14,2
text41,"ukraine than in two bloody and years-long wars in chechnya . for what ? ,",i am grateful to,those russians who do not stop trying to convey the truth . to those who,41,2022-03-15,1
text44,"settled . i am waiting for the adopted laws to sign them . , and",i am grateful to,the people's deputies of ukraine for the fact that the majority of votes collected more,44,2022-03-16,1
text44,"will not give up trying to save people , to save the city . and",i am grateful to,"each of our defenders ! to every defender of mariupol , kharkiv , sumy ,",44,2022-03-16,1
text44,", zhytomyr , mykolaiv and all other cities this evil wants to capture . ,",i am grateful to,"all who hold on and fight for life . , your resistance , your resilience",44,2022-03-16,1
text46,"in the free world , which helps put pressure on the aggressor economically . ,",i am grateful to,"president biden for his personal involvement , for his sincere commitment to the defense of",46,2022-03-16,3
text46,"his sincere commitment to the defense of ukraine and democracy around the world . ,",i am grateful to,"you for the resolution , which recognizes all those who commit crimes against the ukrainian",46,2022-03-16,3
text47,union . we have been moving towards this for decades . it finally happened !,i am grateful to,"all the power engineers of our country , to all those who worked for this",47,2022-03-17,1
text48,"to save our people . , ladies and gentlemen ! , german people ! ,",i am grateful to,everyone who supports us . i am grateful to you . ordinary germans who sincerely,48,2022-03-17,2
text48,"! , german people ! , i am grateful to everyone who supports us .",i am grateful to,you . ordinary germans who sincerely help ukrainians on your land . to journalists who,48,2022-03-17,2
text48,"their job honestly , showing all the evil that russia has brought to us .",i am grateful to,the german businessmen who put morality and humanity above accounting . above the economy .,48,2022-03-17,2
text48,morality and humanity above accounting . above the economy . economy . economy . and,i am grateful to,the politicians who are still trying . . . trying to break this wall .,48,2022-03-17,2
text48,"the european union . because ukraine is already more europe than many others . ,",i am grateful to,everyone who is taller than any wall . and who knows that the stronger one,48,2022-03-17,2
text50,"until there is peace for ukraine , sanctions against russia must grow steadily . ,",i am grateful to,all public initiatives from around the world that offer restrictions for russia not only at,50,2022-03-18,2
text50,"the state level , but also at the level of societies . in particular ,",i am grateful to,"the swedish port workers ' union , which promises not to service vessels connected with",50,2022-03-18,2
text51,"guard . , and a separate detachment of special purpose "" azov "" . ,",i am grateful to,each and every one of our defenders of mariupol . i am grateful to everyone,51,2022-03-19,1
text51,", i am grateful to each and every one of our defenders of mariupol .",i am grateful to,"everyone who defends ukraine . , also at the request of the commander-in-chief of the",51,2022-03-19,1
text52,"of ukraine ! to all your beautiful people , the people of switzerland ! ,",i am grateful to,"you for supporting our people . , thank you for defending freedom together with all",52,2022-03-19,2
text52,"for all world democracies . , it has changed for you , too . ,",i am grateful to,you and your state for supporting us in such a difficult time . i am,52,2022-03-19,2
text52,"of all those people who are fighting for freedom and fighting for life . ,",i am grateful to,"you . i am grateful to switzerland ! , glory to ukraine !",52,2022-03-19,2
text52,"fighting for freedom and fighting for life . , i am grateful to you .",i am grateful to,"switzerland ! , glory to ukraine !",52,2022-03-19,2
text53,"hence , banks . hence , switzerland and other countries that help save capital .",i am grateful to,the president and to the people of switzerland and to their country for their sincere,53,2022-03-20,1
text55,"to our people what they need . , the kherson region fought again today .",i am grateful to,them . again on the streets . and as always - for all of us,55,2022-03-21,1
text57,i signed a decree on awarding orders and medals to 105 of our warriors .,i am grateful to,"each of them . 7 of them are , unfortunately , awarded posthumously . ,",57,2022-03-22,1
text60,". , i am sure that new sanctions will be introduced this week . and",i am grateful to,"italy for supporting ukraine's membership in the eu . , i spoke with president of",60,2022-03-23,1
text60,". because of our security , which will cement peace in eastern europe . ,",i am grateful to,the minister of foreign affairs of greece who was the first european official to decide,60,2022-03-23,1
text61,"is absolutely logical and correct that the responsible states unite to protect peace . ,",i am grateful to,your state for its principled position at such a historic moment . for real help,61,2022-03-23,2
text63,", all polls show that the people of europe and america support us . ,",i am grateful to,all of you for that . grateful on behalf of ukraine . to everyone in,63,2022-03-24,1
text65,"people ! , sweden was one of the first to come to our aid .",i am grateful to,you ! your support is absolutely sincere . it is based on values . on,65,2022-03-24,3
text66,"recognized rules . and on the basis of a system of preventive deterrence . ,",i am grateful to,you for the unprecedented unity . for your resolute support for peace for our country,66,2022-03-24,4
text66,". for your resolute support for peace for our country , for our people .",i am grateful to,"those of you who are trying one hundred percent to stop this war . ,",66,2022-03-24,4
text66,"have the strength to do it . so , may there be peace ! ,",i am grateful to,"everyone who supports us . , thank you . , glory to ukraine !",66,2022-03-24,4
text68,"of victory . for peace . in a place where they are . , and",i am grateful to,each and every one of you . to each and everyone for this month of,68,2022-03-25,2
text69,"the enemy does not expect . this is exactly what ukraine needs now . ,",i am grateful to,all our heroes from the security service of ukraine . i am grateful to everyone,69,2022-03-25,3
text69,", i am grateful to all our heroes from the security service of ukraine .",i am grateful to,everyone in the service who during 30 years of our common history broke the plans,69,2022-03-25,3
text69,"has disappeared somewhere … i wonder if he personally wanted to visit chornobaivka ? ,",i am grateful to,our defenders who showed the occupiers that the sea will not be calm for them,69,2022-03-25,3
text69,"truthful information and , last but not least , confidence 24 / 7 . ,",i am grateful to,"all of you ! and , i'm sure , i can say this on behalf",69,2022-03-25,3
text71,"constant contact with them . their determination , their heroism and resilience are impressive .",i am grateful to,each of them ! i wish at least a percentage of their courage to those,71,2022-03-26,1
text72,"hundred of our media representatives who are creating a telethon "" united news "" .",i am grateful to,"them . , although we were limited in time , we talked quite thoroughly .",72,2022-03-28,1
text73,", regaining control over ukrainian territory . , irpin was liberated . well done !",i am grateful to,everyone who worked for this result . the occupiers are pushed away from irpin .,73,2022-03-28,2
text73,"at the request of our commander-in-chief , 302 of our defenders are awarded . ,",i am grateful to,"all of you for your service ! , glory to all our heroes ! ,",73,2022-03-28,2
text74,"stop , and europe must stop listening to any excuses from official budapest . ,",i am grateful to,"denmark for its principled position . thank you to everyone . , i am grateful",74,2022-03-29,1
text74,"am grateful to denmark for its principled position . thank you to everyone . ,",i am grateful to,your people who help ukraine and help ukrainians . to your companies that have decided,74,2022-03-29,1
text75,"decided to fly less , and the russian military vehicles - to drive less .",i am grateful to,"all our defenders , to all those who ensure the defense of kyiv . it",75,2022-03-29,2
text76,"we must stop the aggression of the russian federation together and only together . ,",i am grateful to,your government and to the whole of your society for the tangible support you have,76,2022-03-30,1
text76,"pauses . the stronger they are , the sooner we will restore peace . ,",i am grateful to,norway for joining the eu sanctions . but i ask you to do something else,76,2022-03-30,1
text78,"ukraine in 2022 . , we need to fix these terrible mistakes now . ,",i am grateful to,australia for its bipartisan support for our defense against invaders . for the help that,78,2022-03-31,1
text79,"tyranny on our land and drive it back , beyond our ukrainian border . ,",i am grateful to,"you , politicians , i am grateful to all ordinary people for the extremely strong",79,2022-03-31,2
text79,", beyond our ukrainian border . , i am grateful to you , politicians ,",i am grateful to,"all ordinary people for the extremely strong support of my state , our people at",79,2022-03-31,2
text82,i met with president of the european parliament roberta metsola . met in kyiv .,i am grateful to,"her for this important visit , which demonstrates to some other politicians that courage at",82,2022-04-02,1
text83,". and the ukrainian character cannot be conquered by any pressure or violence . ,",i am grateful to,everyone who takes to the streets in the temporarily occupied cities . to all who,83,2022-04-03,1
text83,the temporarily occupied cities . to all who are not afraid and go out .,i am grateful to,all who are afraid and come out . to all those who feel that without,83,2022-04-03,1
text88,"taxes . i want to thank you , your citizens , and your government .",i am grateful to,"these companies , to your entire state and society for the principled stance on sanctions",88,2022-04-05,3
text88,"human rights , which have become a fundamental value for all of us . ,",i am grateful to,your country for supporting common european decisions for peace . but all of us in,88,2022-04-05,3
text90,not remained neutral to the grief and suffering that russia has brought to ukrainians .,i am grateful to,all of you for that . i am grateful to the leadership of your country,90,2022-04-06,2
text90,has brought to ukrainians . i am grateful to all of you for that .,i am grateful to,"the leadership of your country , to every irish man and woman . i am",90,2022-04-06,2
text90,matter of time before you and we live together in our common european home .,i am grateful to,you for supporting the special fast-track procedure for granting ukraine membership in the european union,90,2022-04-06,2
text92,"of the russian-occupied towns . i hope you understand . , * * * ,",i am grateful to,greece for the humanitarian and defense support already provided to ukraine . i am grateful,92,2022-04-07,2
text93,"to destroy another state . , ladies and gentlemen ! , cypriot people ! ,",i am grateful to,"you for the principled position with which you , together with the whole of the",93,2022-04-07,3
text94,quite logical . quite rightly . but also not without fighting for this decision .,i am grateful to,those states that have supported this decision . russia has had nothing to do with,94,2022-04-07,4
text95,"cocktail , which will be remembered as molotov cocktails . insist on it ! ,",i am grateful to,"the finnish companies that have already stopped working in the russian market . , but",95,2022-04-08,1
text96,to provide the necessary financial and technical assistance to document and investigate russian crimes .,i am grateful to,the president of the european commission for her personal involvement and assistance in setting up,96,2022-04-08,2
text97,ukrainians who were forced to leave their homes because of russia's war against ukraine .,i am grateful to,"everyone who joined the fundraising ! , that is , today was a really fruitful",97,2022-04-09,1
text97,and in due time it will be at home - in st . sophia .,i am grateful to,"the hierarchs , clergy and faithful of the ukrainian orthodox church of the united states",97,2022-04-09,1
text97,"we will definitely restore justice - restore our complete control over our land . ,",i am grateful to,"all our friends ! , i am grateful to all our heroes ! , glory",97,2022-04-09,1
text97,"control over our land . , i am grateful to all our friends ! ,",i am grateful to,"all our heroes ! , glory to ukraine !",97,2022-04-09,1
text98,. because this course is supported by the majority of the german people . and,i am grateful to,them . but i expect that everything we agreed on will be implemented . and,98,2022-04-10,1
text98,"service of special communication and information protection of ukraine , ten police officers . ,",i am grateful to,"all our male defenders ! to all our female defenders ! , i am grateful",98,2022-04-10,1
text98,"am grateful to all our male defenders ! to all our female defenders ! ,",i am grateful to,"all those who restore life in the liberated territory of our state . , and",98,2022-04-10,1
text98,"all those who restore life in the liberated territory of our state . , and",i am grateful to,"all those who ensure our victory in the information confrontation . to all journalists ,",98,2022-04-10,1
text100,"way , prime minister of lithuania ingrida šimonytė paid a visit to ukraine today .",i am grateful to,"her for the support , as well as to all the lithuanian people . ,",100,2022-04-12,1
text100,"care was provided to more than 450 servicemen and more than 600 civilians . ,",i am grateful to,"all our heroes ! , glory to everyone who defends ukraine ! , glory to",100,2022-04-12,1
text101,"us all , each of our cities , each of our villages . , and",i am grateful to,everyone who understands this . who does not stop resisting even when it seems that,101,2022-04-13,1
text102,"ukraine with the necessary assistance , this is true , including defensive aid . ,",i am grateful to,"you for the sincere support of our migrants . , you have been and remain",102,2022-04-13,2
text102,"against ukraine and the relevant sanctions policy in european and other international structures . ,",i am grateful to,you for abandoning russian energy . the source of dollars and euros paid to russia,102,2022-04-13,2
text102,be grateful to estonia for the principled support of our state in european integration .,i am grateful to,you for realizing that ukraine's accession to the european union is not just a question,102,2022-04-13,2
text103,"break ukraine . well , we do everything to justify their doubts . , and",i am grateful to,all our defenders who hold positions and teach russian soldiers to think that this war,103,2022-04-13,3
text104,"? "" will never be rhetorical again . we will not allow this . ,",i am grateful to,everyone who supported our state . who immediately asked how they could help . who,104,2022-04-14,1
text105,"conventional aviation so much that they are forced to use strategic long-range aircraft . ,",i am grateful to,"each of our defenders for this great work . , our diplomats must continue their",105,2022-04-15,1
text105,"of the national task of accelerating the restoration of peace . , that is why",i am grateful to,"everyone who keeps jobs , who employs our people , who helps businesses adapt to",105,2022-04-15,1
text105,"sumy region . , the teams of ukravtodor and ukrzaliznytsia work quite efficiently , and",i am grateful to,"them for this speed . for giving people back a sense of normal life ,",105,2022-04-15,1
text105,"evil that threatens freedom and life on earth . , chag pesach sameach ! ,",i am grateful to,"all our male defenders ! i am grateful to all our female defenders ! ,",105,2022-04-15,1
text105,", chag pesach sameach ! , i am grateful to all our male defenders !",i am grateful to,"all our female defenders ! , glory to ukraine !",105,2022-04-15,1
text108,"up anything ukrainian , and we do not need what’s not ours . , and",i am grateful to,"all our fighters , to all our heroic cities in donbas , to mariupol ,",108,2022-04-18,1
text109,"our state support ukrainian national unity . they support our national statehood . , and",i am grateful to,"all the residents of the temporarily occupied cities , temporarily occupied communities - kherson ,",109,2022-04-19,1
text110,"a lot of time , a lot of effort to neutralize them all . and",i am grateful to,"all the specialists , all the rescuers who perform this important task . , once",110,2022-04-20,1
text111,"killings , deportation and dictatorship can be stopped . now , in ukraine . ,",i am grateful to,your government and to all the portuguese people for the assistance to ukraine you have,111,2022-04-21,1
text111,"for those that they are trying to hide under other countries ’ flags . ,",i am grateful to,"you for supporting our people , ukrainian displaced persons . the ukrainian and portuguese people",111,2022-04-21,1
text113,"it is artillery , shells , drones . this is what we expected . ,",i am grateful to,the partners for their help and call for further acceleration of the supply of weapons,113,2022-04-22,2
text113,"servicemen of the state service of special communication and information protection of ukraine . ,",i am grateful to,"everyone who defends the state ! , eternal memory to all who died for ukraine",113,2022-04-22,2
text114,"matters . and it will matter . and life will surely defeat death . ,",i am grateful to,our british friends for the important symbolic decision announced today to return the embassy to,114,2022-04-22,3
text114,"- to kill as much as possible and destroy everything they see . , and",i am grateful to,"each of our defenders who are bravely holding on , teaching the russian army the",114,2022-04-22,3
text114,"necessary weapons . this is the number one task for our state . , and",i am grateful to,all our partners who finally heard us . who provide us with exactly what we,114,2022-04-22,3
text115,"possible to hold a church service . please - only in the morning . ,",i am grateful to,each of our defenders who ensure our security this night before easter and every day,115,2022-04-24,1
text117,"year is not enough to be human , to be a christian . , and",i am grateful to,"all our police officers , to all employees of the security service of ukraine ,",117,2022-04-25,1
text117,"hours - and meaningful . encouraging and , which is important , effective . ,",i am grateful to,the people of the united states and personally to president biden for the strong and,117,2022-04-25,1
text119,"to self-defense . and that is why it will help ukraine even more . ,",i am grateful to,the united kingdom and personally to prime minister boris johnson for his prompt and positive,119,2022-04-26,1
text119,"abducted them , and it took a lot of effort to get them back .",i am grateful to,everyone who joined this cause . i am especially grateful to iryna vereshchuk and andriy,119,2022-04-26,1
text120,i discussed the details of this proposal with president ursula von der leyen today .,i am grateful to,"her personally and to all our european friends for this step . , right now",120,2022-04-27,1
