collocation,count,count_nested,length,lambda,z
everyone who,159,0,2,5.6407252559,22.520472387082844
all our,69,0,2,3.1703128684494706,18.7238040822274
am grateful,54,0,2,9.128834414787866,15.984022408456626
you for,48,0,2,3.6768502260412026,15.623292697910573
to all,36,0,2,3.3554443916511536,13.876239658017992
united states,17,0,2,7.618091927155814,13.54359120061225
grateful to,53,0,2,5.66423458792031,13.436121205707426
who are,39,0,2,3.664403349423328,13.372941711873809
for the,86,0,2,1.7616973571417587,13.027251821483683
to everyone,35,0,2,4.600278044839852,12.868342932021518
every one,22,0,2,6.757842594106471,12.529506243509832
of our,50,0,2,2.144138579198267,12.335745451636585
helps us,13,0,2,4.58897071469424,12.193019743422052
have already,10,0,2,6.20455776256869,12.17795471421527
each and,29,0,2,3.363861419605187,12.131258144180933
who helps,39,0,2,4.594291540384452,12.01475928490156
our partners,25,0,2,3.729989695375396,11.928951953571795
of the,74,0,2,1.6980706081034889,11.84857821723357
in the,46,0,2,2.1896096908594536,11.515527550767391
thank you,12,0,2,5.803450265094277,11.423708538703066
and every,27,0,2,3.851656286859746,11.410398258292982
those who,27,0,2,3.4815559111815517,11.197175937639635
it is,10,0,2,5.149244136076338,11.112579813835548
all those,27,0,2,5.24481081312686,11.088002906098437
our country,23,0,2,4.418779377652367,10.889382466411776
our warriors,23,0,2,4.544086405498707,10.700114937338073
of ukraine,32,0,2,2.2566656388919717,10.498864576074102
of you,23,0,2,2.9500447347698455,10.489881119393264
our defenders,24,0,2,4.900530748983672,10.28296953727192
to ukraine,29,0,2,2.235650993149278,10.062926800001229
partners who,22,0,2,3.6866008930807537,10.051253798664735
for their,21,0,2,3.1163744021539777,9.925677131306617
each of,22,0,2,2.7739093571465894,9.885903242203305
his willingness,5,0,2,6.277548120418263,9.486971528710372
principled position,5,0,2,7.4616719693277975,9.464756632607429
us with,8,0,2,3.9399895178867674,9.33880189989553
that have,8,0,2,3.9745530838353624,9.164146327449128
energy workers,4,0,2,6.665637393605813,9.091746422987695
for this,27,0,2,2.0832396887062963,9.03763585773115
prime minister,13,0,2,10.673109544930782,8.996210571822019
intelligence officers,4,0,2,7.62914277854207,8.927416631702798
we are,8,0,2,3.7005033632813746,8.924709603731909
who defends,27,0,2,5.083565099996356,8.91411304761921
at combat,4,0,2,5.78164814686895,8.891029012746527
who is,20,0,2,2.567710276656384,8.880080919814601
is now,6,0,2,4.700238414047167,8.85544217281141
for its,18,0,2,4.274580514137609,8.741340578560601
president biden,11,0,2,7.802073030045885,8.73277471969486
such a,5,0,2,4.755183462886717,8.641325104442515
with us,8,0,2,3.4523730041564367,8.532246800104849
its principled,4,0,2,5.3255040550676025,8.483559702804431
are holding,6,0,2,5.340969335474937,8.482964900092044
for supporting,21,0,2,4.886514093990034,8.436176225258803
together with,6,0,2,5.655363209437184,8.327473134887832
security service,3,0,2,7.009964681246734,8.23043853580619
against russia,3,0,2,6.378604882722827,8.14470835019029
european commission,6,0,2,7.672704408693333,8.134799073520515
in combat,8,0,2,4.508485618161688,8.124976779107872
and i,13,0,2,3.4461544325114306,8.062577795018923
eternal memory,4,0,2,8.728171618174269,8.052894874065272
are fighting,5,0,2,4.95310406761364,7.997431129329689
do not,3,0,2,5.5925082109126425,7.915441122426259
we need,4,0,2,5.396630027398576,7.827344938721636
a special,4,0,2,5.745351889546118,7.8041810564884875
will be,3,0,2,5.355841210686224,7.80303403218895
not only,3,0,2,5.888222455061689,7.7814704765255405
their positions,4,0,2,4.729638463812252,7.776953760288606
support us,7,0,2,3.281659158978842,7.770266497971058
defense intelligence,3,0,2,5.45755995567853,7.715797333930825
our state,12,0,2,2.765620052923688,7.7087226405007
help us,5,0,2,4.034294733229279,7.686815212618467
one who,13,0,2,2.988668194366152,7.686099646091164
your government,4,0,2,4.560006869021835,7.644801134216249
defenders who,13,0,2,3.8877784386436893,7.640135982525099
for his,15,0,2,4.540638121649691,7.637446802898362
more than,3,0,2,8.225542761612456,7.5891531513274035
president of,13,0,2,2.6957437375998454,7.586172580708662
would like,3,0,2,8.813607030791465,7.578475962670056
already helping,3,0,2,5.130037932520402,7.558543996271328
your country,5,0,2,3.7610220405581045,7.541989349680054
defends our,10,0,2,2.936452058009684,7.539883989624248
its willingness,3,0,2,5.146848273236847,7.503707675379497
we will,4,0,2,4.225163393233974,7.444755414294804
even more,2,0,2,6.790180554960711,7.388564629182536
fights and,11,0,2,4.096175807680986,7.324758205622066
time closer,2,0,2,7.378244901225254,7.297110453770277
only by,2,0,2,6.422178016344614,7.2894285814496325
protect life,2,0,2,6.673631333514634,7.282832324493205
40 billion,2,0,2,7.966309170404261,7.271791566585829
team involved,2,0,2,7.966309170404261,7.271791566585829
now in,6,0,2,4.5021509747615465,7.255684618684248
but i,3,0,2,4.718847194124211,7.24612447974438
kharkiv region,2,0,2,6.278938264522025,7.222924744457379
despite everything,3,0,2,7.377411625710058,7.207315375151045
today i,3,0,2,4.635326270612631,7.176978559008855
understand that,5,0,2,4.973282696678842,7.174012032939444
how important,2,0,2,6.153636194087941,7.15341705097029
our people,13,0,2,2.3072607627240016,7.143071347951222
kyiv region,2,0,2,6.867002726495174,7.107494341163798
defends ukraine,7,0,2,3.0511910208922717,7.057955590789868
this result,5,0,2,4.885826366600978,7.055705437910229
military package,2,0,2,5.841461950639464,7.046501641265872
everything holds,2,0,2,6.741700694652054,7.037181679581583
when russia,2,0,2,6.193502581918035,7.007859922709816
sanctions package,2,0,2,5.674268880569541,6.988523017117257
energy supply,2,0,2,6.630336151359915,6.96810689421598
different countries,2,0,2,7.889209336762705,6.948680711592795
truth about,2,0,2,7.889209336762705,6.948680711592795
held talks,2,0,2,7.889209336762704,6.948680711592794
understanding how,2,0,2,5.850938423932148,6.9471250607262744
we have,4,0,2,3.784679024636597,6.937936637817336
i am,65,0,2,9.840722541973633,6.897309107187489
i thank,6,0,2,5.135977331321513,6.843690441814233
near bakhmut,2,0,2,8.988237945170386,6.826783586960156
occupied cities,2,0,2,7.521206913823083,6.807562908730825
by helping,2,0,2,5.294362186705109,6.7750421616694645
defending freedom,2,0,2,6.355482465301973,6.774432160227412
the european,13,0,2,2.976584028203514,6.762720383907047
and works,9,0,2,3.4619228701432228,6.7579573408776055
holding their,3,0,2,4.607196104456696,6.751428662291899
the world,15,0,2,4.0065098110471675,6.750626296373387
export initiative,2,0,2,7.377967219862831,6.734742141850069
supporting our,8,0,2,2.8826513957235003,6.73195140048669
