word,n
NA,384
everyone,189
ukraine,120
grateful,69
every,64
support,62
us,57
people,51
helps,47
partners,43
president,35
glory,34
state,34
country,31
defends,31
today,31
warriors,31
defenders,29
one,27
states,27
defense,25
help,24
russian,24
supporting,24
united,23
european,21
work,21
already,20
ukrainian,20
friends,19
thank,19
fights,18
world,18
works,17
also,16
international,16
now,16
new,15
occupiers,15
prime,15
freedom,14
minister,14
mr,14
sanctions,14
understanding,14
combat,13
everything,13
government,13
russia,13
ukrainians,13
assistance,12
biden,12
energy,12
intelligence,12
leaders,12
positions,12
principled,12
victory,12
defend,11
helping,11
package,11
way,11
day,10
fighting,10
heroes,10
holding,10
important,10
personally,10
security,10
sincere,10
together,10
willingness,10
cities,9
fact,9
initiative,9
kharkiv,9
military,9
region,9
service,9
understand,9
workers,9
army,8
donbas,8
fighters,8
joined,8
life,8
need,8
officers,8
position,8
result,8
strong,8
supported,8
team,8
worked,8
working,8
attention,7
commission,7
decision,7
decisions,7
eternal,7
first,7
justice,7
kyiv,7
leadership,7
made,7
politicians,7
provide,7
rescuers,7
resilience,7
special,7
unwavering,7
war,7
weapons,7
address,6
air,6
andriy,6
another,6
closer,6
countries,6
denmark,6
ensure,6
ensures,6
even,6
financial,6
held,6
humanitarian,6
italy,6
meeting,6
needs,6
organizations,6
particular,6
power,6
really,6
reconstruction,6
representatives,6
sincerely,6
soldiers,6
time,6
yermak,6
24,5
actions,5
boris,5
british,5
budanov,5
canada,5
clear,5
congress,5
continue,5
efforts,5
entire,5
february,5
fight,5
france,5
friend,5
great,5
including,5
journalists,5
memory,5
mrs,5
much,5
must,5
netherlands,5
ordinary,5
peace,5
possible,5
protect,5
spoke,5
strengthen,5
summit,5
supports,5
take,5
terror,5
union,5
ursula,5
warrior,5
whose,5
40,4
aggression,4
american,4
andrzej,4
bakhmut,4
believe,4
billion,4
britain,4
common,4
companies,4
cooperation,4
defending,4
der,4
despite,4
engineers,4
especially,4
forces,4
gave,4
general,4
guys,4
helped,4
holds,4
involved,4
just,4
justin,4
leyen,4
like,4
maintain,4
make,4
malyuk,4
mariupol,4
missile,4
nation,4
nations,4
opportunity,4
pilots,4
polish,4
political,4
posts,4
present,4
restore,4
since,4
solidarity,4
stop,4
supply,4
switzerland,4
temporarily,4
truth,4
trying,4
units,4
usov,4
von,4
well,4
america,3
americans,3
ammunition,3
announced,3
artillery,3
behalf,3
brigades,3
bringing,3
brings,3
can,3
chancellor,3
clearly,3
colleagues,3
communities,3
condemned,3
continued,3
council,3
courage,3
court,3
crimes,3
criminal,3
decided,3
definitely,3
demining,3
deputies,3
determination,3
different,3
direction,3
discussed,3
doctors,3
economic,3
effective,3
employees,3
erdoğan,3
estonia,3
europe,3
europeans,3
evil,3
exactly,3
exchanges,3
export,3
extremely,3
facilities,3
feel,3
female,3
frontline,3
full,3
fully,3
german,3
get,3
grain,3
guterres,3
historic,3
honor,3
human,3
ihor,3
initiatives,3
interest,3
iryna,3
johnson,3
kherson,3
kingdom,3
leader,3
local,3
lubinets,3
majority,3
making,3
met,3
million,3
mission,3
modern,3
mykolaiv,3
near,3
note,3
occupied,3
operation,3
organization,3
parliament,3
partner,3
path,3
person,3
poland,3
policy,3
port,3
pressure,3
provided,3
quick,3
ready,3
received,3
relevant,3
rescue,3
resistance,3
response,3
return,3
saves,3
scale,3
scholz,3
see,3
separate,3
society,3
specialists,3
step,3
steps,3
still,3
streets,3
strength,3
struggle,3
success,3
sure,3
talks,3
task,3
tavria,3
thanks,3
today's,3
true,3
truly,3
türkiye,3
uk,3
understands,3
unity,3
vereshchuk,3
visit,3
wish,3
words,3
activity,2
administration,2
agata,2
agreed,2
agreements,2
aircraft,2
almost,2
along,2
amount,2
anti,2
approaching,2
areas,2
armed,2
attacks,2
australia,2
avdiivka,2
aviation,2
aware,2
become,2
bipartisan,2
border,2
bring,2
brutal,2
bulgarian,2
call,2
canadians,2
capabilities,2
care,2
caring,2
charles,2
chief,2
children,2
chile,2
chosen,2
church,2
communication,2
company,2
condemning,2
conditions,2
conference,2
continent,2
continues,2
corridor,2
course,2
crews,2
croatia,2
currently,2
czech,2
danish,2
david,2
dear,2
delegation,2
demonstrate,2
demonstrates,2
destroy,2
destroying,2
difficult,2
displaced,2
done,2
due,2
duty,2
effectively,2
emergency,2
emotional,2
emphasize,2
endure,2
endures,2
enemy,2
ensured,2
equipment,2
estonian,2
eu,2
euros,2
expect,2
extraordinary,2
fast,2
figures,2
flag,2
force,2
format,2
fought,2
french,2
fulfill,2
fundraising,2
future,2
germans,2
germany,2
giving,2
global,2
go,2
greece,2
guarantee,2
guard,2
happen,2
heads,2
heroic,2
heroism,2
historical,2
history,2
hold,2
hope,2
however,2
immediate,2
implemented,2
increase,2
indifferent,2
indonesia,2
integration,2
integrity,2
invaders,2
investment,2
involvement,2
israeli,2
italians,2
japan,2
jens,2
jobs,2
join,2
joint,2
keeps,2
land,2
large,2
largest,2
level,2
levels,2
line,2
lives,2
long,2
looking,2
main,2
male,2
mark,2
maryinka,2
membership,2
mine,2
national,2
needed,2
negotiations,2
normal,2
norway,2
officials,2
operations,2
part,2
participants,2
patronage,2
people’s,2
perceives,2
perform,2
personal,2
place,2
platform,2
police,2
portuguese,2
positive,2
prompt,2
proposals,2
prosecutor,2
provides,2
public,2
quickly,2
quite,2
ramstein,2
recovery,2
regions,2
remain,2
remaining,2
repair,2
republic,2
residents,2
respect,2
respective,2
restoration,2
right,2
russia's,2
russians,2
sake,2
sappers,2
saving,2
saw,2
secretary,2
shelling,2
signed,2
soledar,2
soon,2
south,2
sovereignty,2
stable,2
stance,2
standing,2
stands,2
stood,2
strengthening,2
strikes,2
systems,2
tangible,2
technical,2
territorial,2
territory,2
think,2
thousand,2
thousands,2
threat,2
took,2
train,2
trains,2
tries,2
trudeau,2
two,2
ukraine's,2
un,2
utility,2
values,2
volunteer,2
volunteers,2
wall,2
want,2
wants,2
weapon,2
whole,2
wife,2
win,2
without,2
withstand,2
wounded,2
zabolotnyi,2
1,1
"1,300",1
100,1
106,1
107th,1
143,1
14th,1
2,1
25,1
250,1
25th,1
30,1
37,1
40th,1
43rd,1
44th,1
50,1
60,1
7,1
700,1
92nd,1
abandoning,1
ability,1
abroad,1
absolutely,1
acceleration,1
accepted,1
accession,1
accomplish,1
accountability,1
accounting,1
accuracy,1
accurate,1
accustom,1
achieved,1
across,1
act,1
active,1
actively,1
adapt,1
admit,1
adopting,1
advanced,1
advantage,1
affairs,1
afraid,1
agreeing,1
agreement,1
agricultural,1
aid,1
aimed,1
airborne,1
albania,1
allies,1
alone,1
alpha,1
although,1
always,1
ambassador,1
ambassadors,1
among,1
amsterdam,1
analogue,1
anatoliy,1
andrew,1
andrzej's,1
annexation,1
answer,1
antónio,1
appeals,1
appropriate,1
approving,1
archers,1
arguments,1
arose,1
around,1
asia,1
ask,1
asked,1
aspect,1
assist,1
assurances,1
attack,1
attempted,1
australians,1
austria,1
awarded,1
awarding,1
awards,1
away,1
back,1
baltic,1
bank,1
based,1
battle,1
battlefield,1
becoming,1
began,1
believes,1
ben,1
bennett,1
blackmail,1
block,1
bodies,1
boric,1
boys,1
branson,1
bratislava,1
brave,1
bravely,1
bravery,1
break,1
bridge,1
brigade,1
bright,1
broadcasting,1
broke,1
broken,1
brothers,1
bulgaria,1
bureau,1
business,1
businesses,1
businessmen,1
caesars,1
calm,1
canadian,1
candidacy,1
candidate,1
capacity,1
cares,1
case,1
catchers,1
cause,1
center,1
chechelnytsky,1
chernihiv,1
chevrons,1
chinese,1
choice,1
chrystia,1
citizens,1
city,1
civilized,1
clearance,1
clergy,1
clock,1
closely,1
coalition,1
collect,1
collected,1
colonel,1
come,1
command,1
commander,1
commands,1
commit,1
commitment,1
committee,1
competition,1
concessions,1
concrete,1
concretely,1
condemn,1
condemnation,1
confrontation,1
congratulate,1
congratulated,1
connected,1
consequences,1
consider,1
consolidating,1
constant,1
constantly,1
containing,1
contribute,1
contributed,1
contribution,1
control,1
convene,1
convening,1
conversations,1
convey,1
convince,1
cooperates,1
coordinates,1
coordination,1
coordinator,1
counteraction,1
counterattack,1
countering,1
couple,1
create,1
created,1
creates,1
creating,1
creation,1
croatian,1
cross,1
cruelty,1
cultural,1
current,1
cynical,1
daily,1
davos,1
days,1
decide,1
decree,1
dedicated,1
defeat,1
defender,1
defensive,1
delaying,1
delivering,1
delivery,1
demonstrated,1
demonstrating,1
depended,1
depends,1
deprive,1
depth,1
descendants,1
destabilization,1
deters,1
dialogue,1
died,1
dignity,1
diligent,1
diplomatic,1
diplomats,1
directions,1
directorate,1
discussions,1
disgust,1
distressing,1
dnipro,1
dnipropetrovsk,1
doctor,1
document,1
dollars,1
draghi,1
drawing,1
drive,1
driver,1
drivers,1
duchy,1
duda,1
dutch,1
dynamics,1
early,1
east,1
easter,1
economy,1
educators,1
eight,1
eighth,1
election,1
elements,1
eli,1
eliminates,1
elina,1
else,1
embassy,1
emmanuel,1
employers,1
employs,1
encirclement,1
end,1
endured,1
enemy's,1
enforcement,1
engage,1
enhance,1
ensuring,1
entrepreneurs,1
erdogan,1
establish,1
establishing,1
establishment,1
estonians,1
evacuating,1
evacuation,1
evening,1
example,1
excess,1
exchange,1
exhausting,1
expand,1
expel,1
expelling,1
explosives,1
exports,1
expressed,1
extinguished,1
eyes,1
facts,1
fair,1
faithful,1
famous,1
fate,1
fathers,1
feeling,1
feels,1
fertile,1
fields,1
filmmakers,1
finally,1
finland,1
finnish,1
fire,1
firing,1
firmness,1
flooded,1
focus,1
focused,1
food,1
football,1
foreign,1
forget,1
form,1
forrest,1
fortress,1
forward,1
free,1
freed,1
freeland,1
friendship,1
front,1
fruitful,1
function,1
fund,1
fundamental,1
funding,1
general's,1
georgia,1
giammattei,1
girls,1
give,1
gives,1
globsec,1
going,1
goliath,1
goods,1
grand,1
granting,1
greater,1
grit,1
grossi,1
ground,1
groups,1
guaranteeing,1
guarantees,1
guarded,1
guards,1
guatemala,1
guests,1
gunners,1
happened,1
head,1
heals,1
hear,1
heard,1
helicopters,1
heroically,1
hesitating,1
hierarchs,1
high,1
historically,1
hlib,1
home,1
honest,1
honestly,1
honoring,1
hosting,1
hottest,1
houses,1
humanity,1
hundred,1
hundreds,1
iarovyi,1
idea,1
identified,1
ifvs,1
ignores,1
ilkiv,1
immediately,1
implementation,1
implementing,1
indonesians,1
inevitable,1
information,1
informing,1
infrastructure,1
injured,1
inspired,1
interests,1
introduced,1
invaluable,1
invasion,1
investigate,1
investigates,1
investigating,1
investigation,1
invitation,1
inviting,1
ireland,1
ireland's,1
iris,1
irises,1
irish,1
irpin,1
island,1
israel,1
issue,1
italian,1
japanese,1
jill,1
joining,1
jointly,1
karim,1
kept,1
khan,1
khortytsia,1
kind,1
klymenko,1
knows,1
kuzubova,1
lacked,1
lady,1
launch,1
launched,1
law,1
lease,1
least,1
leave,1
led,1
legendary,1
lend,1
levits,1
liberate,1
liberated,1
liberation,1
lie,1
limited,1
limiting,1
lithuania,1
lithuanian,1
lose,1
lot,1
luxembourg's,1
macro,1
macron,1
majesty's,1
man,1
managed,1
managers,1
many,1
marathon,1
mario,1
market,1
maryna,1
matière,1
matter,1
matters,1
maximum,1
mayor,1
meaning,1
means,1
mechanized,1
media,1
mediation,1
melitopol,1
members,1
mexico,1
michel,1
migrants,1
minimum,1
ministers,1
minus,1
mlrs,1
mobile,1
moldova,1
moment,1
month,1
months,1
moral,1
morality,1
morning,1
mothers,1
moving,1
multi,1
murder,1
murderer,1
native,1
neat,1
necessary,1
necessity,1
nehammer,1
never,1
news,1
night,1
nlaw,1
normality,1
nothing,1
nuclear,1
number,1
nurse,1
nurses,1
obligations,1
occupier,1
occupier's,1
odesa,1
offer,1
offered,1
official,1
olaf,1
oleksandr,1
olympic,1
online,1
onslaught,1
onul,1
opposes,1
order,1
organizing,1
orthodox,1
ostrovska,1
others,1
overcome,1
owners,1
pace,1
packages,1
paid,1
panic,1
paris,1
parliamentary,1
participate,1
participated,1
participates,1
participating,1
participation,1
particularly,1
parties,1
past,1
patronize,1
people's,1
percent,1
percentage,1
perseverance,1
personnel,1
persons,1
physical,1
picture,1
piece,1
plan,1
planned,1
plans,1
plant,1
player,1
policeman,1
poll,1
poltava,1
positively,1
post,1
posthumously,1
postpone,1
potential,1
powerful,1
practical,1
prepared,1
preparing,1
preserved,1
preserves,1
preserving,1
presidency,1
presidential,1
presidents,1
price,1
procedure,1
process,1
processes,1
produces,1
professional,1
progress,1
project,1
projects,1
promises,1
promote,1
promotes,1
promoting,1
proofs,1
properly,1
propose,1
prosecutors,1
protecting,1
protection,1
protects,1
protests,1
proving,1
provision,1
pryazovia,1
pushed,1
put,1
quality,1
quantitative,1
question,1
radavchuk,1
radiation,1
range,1
reach,1
reached,1
readiness,1
real,1
realizing,1
rebuild,1
receives,1
recep,1
recognizes,1
record,1
red,1
referenda,1
reflects,1
refuse,1
regarding,1
reinforcing,1
remember,1
reminded,1
repairmen,1
replenish,1
replenishing,1
request,1
rescuer,1
resident,1
resist,1
resisting,1
resolute,1
resolution,1
restrictions,1
resumed,1
rhetoric,1
roman,1
romania,1
rosenbaum,1
round,1
ruslan,1
rutte,1
said,1
sal,1
salvation,1
sanction,1
sapper,1
save,1
say,1
sea,1
search,1
second,1
seems,1
sejm,1
self,1
sense,1
separately,1
sergeants,1
services,1
setting,1
severodonetsk,1
shaheds,1
sham,1
shaman,1
share,1
sharing,1
sheer,1
shevchenko,1
showed,1
shown,1
sign,1
signatures,1
significance,1
significantly,1
signing,1
sincerity,1
site,1
sixth,1
skillfully,1
sky,1
sling,1
snake,1
soldier,1
solutions,1
something,1
sometimes,1
sons,1
source,1
specialized,1
speed,1
speeding,1
spoken,1
spots,1
spread,1
spreading,1
square,1
squares,1
staff,1
start,1
started,1
statements,1
station,1
status,1
stays,1
steadily,1
steinmeier,1
stimulate,1
stopped,1
stories,1
story,1
strategic,1
striving,1
stronger,1
students,1
subject,1
subjects,1
successful,1
successfully,1
suffering,1
sumy,1
superhuman,1
supplied,1
sweden,1
swedish,1
symbolic,1
syrsky,1
system,1
t,1
taken,1
takes,1
talk,1
talked,1
taller,1
tank,1
tanks,1
taras,1
tayra,1
tayyip,1
teach,1
teaching,1
teams,1
television,1
tell,1
tens,1
tetiana,1
thankful,1
things,1
thinking,1
thirdly,1
thoroughly,1
three,1
ties,1
timely,1
times,1
tomorrow,1
tonight,1
torturer,1
total,1
towns,1
track,1
transit,1
transportation,1
treat,1
treated,1
treatment,1
tribunal,1
tried,1
troops,1
trust,1
turkey,1
turkish,1
turned,1
turns,1
tyranny,1
u.s,1
unambiguous,1
unesco,1
unfortunately,1
unhesitating,1
unification,1
united24,1
uniting,1
unprecedented,1
usd,1
use,1
uses,1
valeriy,1
value,1
various,1
varna,1
vast,1
vessels,1
victims,1
view,1
villages,1
vinnytsia,1
visited,1
visiting,1
vote,1
votes,1
vyacheslav,1
wartime,1
water,1
ways,1
week,1
western,1
we’re,1
wheat,1
who’re,1
willing,1
within,1
withstands,1
wives,1
woman,1
wonderful,1
world's,1
wounds,1
years,1
yellow,1
yesterday,1
you’ve,1
zaporizhzhia,1
zealand,1
