id,date,sentiment,country
1,14 February 2022,20,ukraine
2,19 February 2022,32,ukraine
2,19 February 2022,4,russia
3,24 February 2022,7,ukraine
3,24 February 2022,0,russia
4,25 February 2022,10,ukraine
4,25 February 2022,-6,russia
5,25 February 2022,1,ukraine
5,25 February 2022,-7,russia
6,25 February 2022,4,ukraine
6,25 February 2022,1,russia
7,26 February 2022,-3,ukraine
7,26 February 2022,0,russia
8,26 February 2022,5,ukraine
8,26 February 2022,-2,russia
9,27 February 2022,-1,ukraine
9,27 February 2022,1,russia
10,27 February 2022,-1,ukraine
10,27 February 2022,-5,russia
11,27 February 2022,1,ukraine
12,28 February 2022,1,ukraine
12,28 February 2022,-7,russia
13,28 February 2022,3,ukraine
13,28 February 2022,-3,russia
14,01 March 2022,1,ukraine
14,01 March 2022,-8,russia
15,02 March 2022,1,ukraine
15,02 March 2022,-3,russia
16,03 March 2022,-10,ukraine
16,03 March 2022,-6,russia
17,03 March 2022,-5,ukraine
17,03 March 2022,1,russia
18,04 March 2022,-1,ukraine
18,04 March 2022,-2,russia
19,04 March 2022,-2,ukraine
19,04 March 2022,-3,russia
20,05 March 2022,8,ukraine
20,05 March 2022,-7,russia
21,05 March 2022,-2,ukraine
21,05 March 2022,-2,russia
22,06 March 2022,20,ukraine
22,06 March 2022,1,russia
23,06 March 2022,0,ukraine
23,06 March 2022,3,russia
24,07 March 2022,15,ukraine
24,07 March 2022,1,russia
25,07 March 2022,11,ukraine
25,07 March 2022,2,russia
26,08 March 2022,6,ukraine
26,08 March 2022,-1,russia
27,08 March 2022,5,ukraine
27,08 March 2022,-7,russia
28,08 March 2022,4,ukraine
28,08 March 2022,1,russia
29,09 March 2022,7,ukraine
29,09 March 2022,-4,russia
30,09 March 2022,15,ukraine
30,09 March 2022,-14,russia
31,10 March 2022,6,ukraine
31,10 March 2022,-4,russia
32,11 March 2022,4,ukraine
32,11 March 2022,-5,russia
33,11 March 2022,8,ukraine
33,11 March 2022,-2,russia
34,11 March 2022,14,ukraine
34,11 March 2022,0,russia
35,12 March 2022,17,ukraine
35,12 March 2022,-4,russia
36,12 March 2022,12,ukraine
36,12 March 2022,1,russia
37,12 March 2022,8,ukraine
37,12 March 2022,-9,russia
38,13 March 2022,12,ukraine
38,13 March 2022,-7,russia
39,14 March 2022,12,ukraine
39,14 March 2022,-1,russia
40,14 March 2022,19,ukraine
40,14 March 2022,-2,russia
41,15 March 2022,0,ukraine
41,15 March 2022,-3,russia
42,15 March 2022,5,ukraine
42,15 March 2022,-12,russia
43,15 March 2022,12,ukraine
43,15 March 2022,3,russia
44,16 March 2022,12,ukraine
44,16 March 2022,-3,russia
45,16 March 2022,3,ukraine
45,16 March 2022,-16,russia
46,16 March 2022,15,ukraine
46,16 March 2022,0,russia
47,17 March 2022,3,ukraine
47,17 March 2022,-4,russia
48,17 March 2022,8,ukraine
48,17 March 2022,7,russia
49,18 March 2022,5,ukraine
49,18 March 2022,-5,russia
50,18 March 2022,6,ukraine
50,18 March 2022,3,russia
51,19 March 2022,7,ukraine
51,19 March 2022,-3,russia
52,19 March 2022,18,ukraine
52,19 March 2022,-9,russia
53,20 March 2022,25,ukraine
53,20 March 2022,-5,russia
54,20 March 2022,-1,ukraine
54,20 March 2022,2,russia
55,21 March 2022,19,ukraine
55,21 March 2022,1,russia
56,21 March 2022,23,ukraine
56,21 March 2022,-6,russia
57,22 March 2022,4,ukraine
57,22 March 2022,3,russia
58,22 March 2022,5,ukraine
58,22 March 2022,-8,russia
59,22 March 2022,-8,ukraine
59,22 March 2022,-3,russia
60,23 March 2022,11,ukraine
60,23 March 2022,-3,russia
61,23 March 2022,13,ukraine
61,23 March 2022,2,russia
62,23 March 2022,2,ukraine
62,23 March 2022,-3,russia
63,24 March 2022,37,ukraine
63,24 March 2022,-6,russia
64,24 March 2022,9,ukraine
64,24 March 2022,2,russia
65,24 March 2022,17,ukraine
65,24 March 2022,-5,russia
66,24 March 2022,9,ukraine
66,24 March 2022,-4,russia
67,25 March 2022,6,ukraine
67,25 March 2022,-8,russia
68,25 March 2022,14,ukraine
68,25 March 2022,1,russia
69,25 March 2022,24,ukraine
69,25 March 2022,-1,russia
70,25 March 2022,-8,ukraine
70,25 March 2022,-17,russia
71,26 March 2022,9,ukraine
71,26 March 2022,-13,russia
72,28 March 2022,14,ukraine
72,28 March 2022,0,russia
73,28 March 2022,8,ukraine
73,28 March 2022,0,russia
74,29 March 2022,-2,ukraine
74,29 March 2022,-4,russia
75,29 March 2022,12,ukraine
75,29 March 2022,4,russia
76,30 March 2022,7,ukraine
76,30 March 2022,-19,russia
77,30 March 2022,16,ukraine
77,30 March 2022,4,russia
78,31 March 2022,17,ukraine
78,31 March 2022,-6,russia
79,31 March 2022,9,ukraine
79,31 March 2022,-5,russia
80,31 March 2022,15,ukraine
80,31 March 2022,7,russia
81,01 April 2022,19,ukraine
81,01 April 2022,3,russia
82,02 April 2022,8,ukraine
82,02 April 2022,-3,russia
83,03 April 2022,35,ukraine
83,03 April 2022,0,russia
84,03 April 2022,-2,ukraine
84,03 April 2022,-8,russia
85,04 April 2022,10,ukraine
85,04 April 2022,-5,russia
86,05 April 2022,-3,ukraine
86,05 April 2022,-3,russia
87,05 April 2022,10,ukraine
87,05 April 2022,-2,russia
88,05 April 2022,1,ukraine
88,05 April 2022,-3,russia
89,06 April 2022,11,ukraine
89,06 April 2022,5,russia
90,06 April 2022,4,ukraine
90,06 April 2022,-13,russia
91,07 April 2022,0,ukraine
91,07 April 2022,-10,russia
92,07 April 2022,8,ukraine
92,07 April 2022,-15,russia
93,07 April 2022,-1,ukraine
93,07 April 2022,-1,russia
94,07 April 2022,25,ukraine
94,07 April 2022,9,russia
95,08 April 2022,8,ukraine
95,08 April 2022,4,russia
96,08 April 2022,18,ukraine
96,08 April 2022,-9,russia
97,09 April 2022,25,ukraine
97,09 April 2022,4,russia
98,10 April 2022,6,ukraine
98,10 April 2022,-16,russia
99,11 April 2022,0,ukraine
99,11 April 2022,-4,russia
100,12 April 2022,6,ukraine
100,12 April 2022,-1,russia
101,13 April 2022,5,ukraine
101,13 April 2022,-13,russia
102,13 April 2022,1,ukraine
102,13 April 2022,4,russia
103,13 April 2022,5,ukraine
103,13 April 2022,6,russia
104,14 April 2022,14,ukraine
104,14 April 2022,-15,russia
105,15 April 2022,8,ukraine
105,15 April 2022,-9,russia
106,16 April 2022,3,ukraine
106,16 April 2022,-5,russia
