id,date,id_day,negative,positive,sentiment
2,2022-02-19,1,3,7,4
3,2022-02-24,1,5,5,0
4,2022-02-25,1,7,1,-6
5,2022-02-25,2,9,2,-7
6,2022-02-25,3,4,5,1
7,2022-02-26,1,1,1,0
8,2022-02-26,2,5,3,-2
9,2022-02-27,1,1,2,1
10,2022-02-27,2,8,3,-5
12,2022-02-28,1,11,4,-7
13,2022-02-28,2,4,1,-3
14,2022-03-01,1,10,2,-8
15,2022-03-02,1,9,6,-3
16,2022-03-03,1,7,1,-6
17,2022-03-03,2,1,2,1
18,2022-03-04,1,5,3,-2
19,2022-03-04,2,6,3,-3
20,2022-03-05,1,9,2,-7
21,2022-03-05,2,5,3,-2
22,2022-03-06,1,4,5,1
23,2022-03-06,2,2,5,3
24,2022-03-07,1,4,5,1
25,2022-03-07,2,6,8,2
26,2022-03-08,1,6,5,-1
27,2022-03-08,2,10,3,-7
28,2022-03-08,3,8,9,1
29,2022-03-09,1,6,2,-4
30,2022-03-09,2,14,0,-14
31,2022-03-10,1,9,5,-4
32,2022-03-11,1,11,6,-5
33,2022-03-11,2,4,2,-2
34,2022-03-11,3,1,1,0
35,2022-03-12,1,16,12,-4
36,2022-03-12,2,9,10,1
37,2022-03-12,3,11,2,-9
38,2022-03-13,1,16,9,-7
39,2022-03-14,1,4,3,-1
40,2022-03-14,2,3,1,-2
41,2022-03-15,1,9,6,-3
42,2022-03-15,2,13,1,-12
43,2022-03-15,3,8,11,3
44,2022-03-16,1,11,8,-3
45,2022-03-16,2,20,4,-16
46,2022-03-16,3,7,7,0
47,2022-03-17,1,17,13,-4
48,2022-03-17,2,3,10,7
49,2022-03-18,1,6,1,-5
50,2022-03-18,2,9,12,3
51,2022-03-19,1,8,5,-3
52,2022-03-19,2,11,2,-9
53,2022-03-20,1,8,3,-5
54,2022-03-20,2,1,3,2
55,2022-03-21,1,4,5,1
56,2022-03-21,2,8,2,-6
57,2022-03-22,1,2,5,3
58,2022-03-22,2,15,7,-8
59,2022-03-22,3,24,21,-3
60,2022-03-23,1,8,5,-3
61,2022-03-23,2,14,16,2
62,2022-03-23,3,19,16,-3
63,2022-03-24,1,21,15,-6
64,2022-03-24,2,5,7,2
65,2022-03-24,3,15,10,-5
66,2022-03-24,4,14,10,-4
67,2022-03-25,1,16,8,-8
68,2022-03-25,2,1,2,1
69,2022-03-25,3,14,13,-1
70,2022-03-25,4,29,12,-17
71,2022-03-26,1,22,9,-13
72,2022-03-28,1,3,3,0
73,2022-03-28,2,11,11,0
74,2022-03-29,1,16,12,-4
75,2022-03-29,2,5,9,4
76,2022-03-30,1,29,10,-19
77,2022-03-30,2,1,5,4
78,2022-03-31,1,16,10,-6
79,2022-03-31,2,16,11,-5
80,2022-03-31,3,9,16,7
81,2022-04-01,1,8,11,3
82,2022-04-02,1,5,2,-3
83,2022-04-03,1,1,1,0
84,2022-04-03,2,16,8,-8
85,2022-04-04,1,14,9,-5
86,2022-04-05,1,15,12,-3
87,2022-04-05,2,11,9,-2
88,2022-04-05,3,12,9,-3
89,2022-04-06,1,1,6,5
90,2022-04-06,2,23,10,-13
91,2022-04-07,1,26,16,-10
92,2022-04-07,2,33,18,-15
93,2022-04-07,3,20,19,-1
94,2022-04-07,4,15,24,9
95,2022-04-08,1,22,26,4
96,2022-04-08,2,23,14,-9
97,2022-04-09,1,8,12,4
98,2022-04-10,1,25,9,-16
99,2022-04-11,1,22,18,-4
100,2022-04-12,1,13,12,-1
101,2022-04-13,1,20,7,-13
102,2022-04-13,2,18,22,4
103,2022-04-13,3,6,12,6
104,2022-04-14,1,22,7,-15
105,2022-04-15,1,15,6,-9
106,2022-04-16,1,6,1,-5
107,2022-04-17,1,8,3,-5
108,2022-04-18,1,12,5,-7
109,2022-04-19,1,12,4,-8
110,2022-04-20,1,11,6,-5
111,2022-04-21,1,28,18,-10
112,2022-04-22,1,17,19,2
113,2022-04-22,2,6,5,-1
114,2022-04-22,3,14,12,-2
115,2022-04-24,1,16,3,-13
116,2022-04-24,2,4,1,-3
117,2022-04-25,1,16,7,-9
118,2022-04-25,2,8,9,1
119,2022-04-26,1,16,13,-3
120,2022-04-27,1,6,6,0
121,2022-04-28,1,19,10,-9
122,2022-04-29,1,13,11,-2
123,2022-04-30,1,15,10,-5
124,2022-05-01,1,10,9,-1
125,2022-05-02,1,15,11,-4
126,2022-05-03,1,2,1,-1
127,2022-05-03,2,27,12,-15
128,2022-05-03,3,4,3,-1
129,2022-05-04,1,0,3,3
130,2022-05-05,1,10,1,-9
131,2022-05-05,2,3,3,0
132,2022-05-05,3,6,8,2
133,2022-05-06,1,16,5,-11
134,2022-05-06,2,6,13,7
135,2022-05-06,3,7,13,6
136,2022-05-07,1,9,5,-4
137,2022-05-08,1,2,0,-2
138,2022-05-08,2,12,9,-3
139,2022-05-08,3,9,8,-1
140,2022-05-09,1,1,1,0
141,2022-05-09,2,10,8,-2
142,2022-05-10,1,16,15,-1
143,2022-05-10,2,7,2,-5
144,2022-05-11,1,11,4,-7
145,2022-05-11,2,1,4,3
146,2022-05-12,1,4,3,-1
147,2022-05-12,2,6,4,-2
148,2022-05-13,1,12,6,-6
149,2022-05-14,1,3,3,0
150,2022-05-15,1,13,3,-10
151,2022-05-16,1,3,0,-3
152,2022-05-17,1,3,2,-1
153,2022-05-17,2,10,0,-10
154,2022-05-18,1,1,3,2
155,2022-05-18,2,5,2,-3
156,2022-05-18,3,3,0,-3
157,2022-05-19,1,2,1,-1
158,2022-05-19,2,8,3,-5
159,2022-05-20,1,15,6,-9
160,2022-05-21,1,6,7,1
161,2022-05-22,1,3,7,4
162,2022-05-22,2,0,2,2
163,2022-05-23,1,18,9,-9
164,2022-05-23,2,5,7,2
165,2022-05-24,1,18,3,-15
166,2022-05-25,1,17,8,-9
167,2022-05-26,1,13,12,-1
168,2022-05-26,2,4,3,-1
169,2022-05-27,1,20,7,-13
170,2022-05-27,2,6,8,2
171,2022-05-27,3,6,1,-5
172,2022-05-28,1,8,2,-6
173,2022-05-29,1,3,7,4
174,2022-05-30,1,24,15,-9
175,2022-05-30,2,10,4,-6
176,2022-05-31,1,12,12,0
177,2022-06-02,1,18,1,-17
178,2022-06-02,2,19,17,-2
179,2022-06-02,3,29,10,-19
180,2022-06-02,4,15,9,-6
181,2022-06-03,1,1,0,-1
182,2022-06-04,1,8,2,-6
183,2022-06-04,2,8,7,-1
184,2022-06-04,3,16,6,-10
185,2022-06-05,1,1,0,-1
187,2022-06-06,2,2,2,0
188,2022-06-07,1,9,6,-3
189,2022-06-08,1,3,1,-2
190,2022-06-08,2,2,6,4
191,2022-06-09,1,12,7,-5
192,2022-06-09,2,21,7,-14
193,2022-06-09,3,3,2,-1
194,2022-06-10,1,10,3,-7
195,2022-06-10,2,10,7,-3
196,2022-06-11,1,5,2,-3
197,2022-06-11,2,30,7,-23
198,2022-06-11,3,4,3,-1
199,2022-06-12,1,2,1,-1
200,2022-06-12,2,6,1,-5
201,2022-06-13,1,20,7,-13
202,2022-06-13,2,9,12,3
203,2022-06-14,1,2,3,1
204,2022-06-15,1,7,12,5
205,2022-06-15,2,0,2,2
206,2022-06-16,1,6,0,-6
207,2022-06-17,1,20,11,-9
208,2022-06-17,2,1,1,0
209,2022-06-19,1,2,1,-1
210,2022-06-19,2,2,3,1
211,2022-06-20,1,2,0,-2
212,2022-06-20,2,17,5,-12
213,2022-06-20,3,6,4,-2
214,2022-06-21,1,3,0,-3
215,2022-06-21,2,1,2,1
216,2022-06-21,3,7,0,-7
217,2022-06-22,1,6,8,2
218,2022-06-22,2,3,3,0
219,2022-06-23,1,3,4,1
220,2022-06-23,2,12,5,-7
221,2022-06-23,3,1,5,4
222,2022-06-24,1,0,2,2
223,2022-06-24,2,6,7,1
224,2022-06-24,3,0,5,5
225,2022-06-25,1,0,1,1
226,2022-06-25,2,3,4,1
227,2022-06-26,1,3,7,4
228,2022-06-27,1,7,2,-5
229,2022-06-28,1,0,1,1
230,2022-06-29,1,23,7,-16
231,2022-06-29,2,18,4,-14
232,2022-06-29,3,20,24,4
233,2022-06-29,4,7,4,-3
234,2022-06-30,1,0,1,1
235,2022-07-01,1,6,6,0
236,2022-07-01,2,2,0,-2
237,2022-07-01,3,5,3,-2
238,2022-07-02,1,3,0,-3
239,2022-07-03,1,11,7,-4
240,2022-07-04,1,3,4,1
241,2022-07-04,2,18,4,-14
242,2022-07-04,3,2,4,2
243,2022-07-05,1,5,6,1
244,2022-07-05,2,1,0,-1
245,2022-07-06,1,8,2,-6
246,2022-07-07,1,4,3,-1
247,2022-07-08,1,18,5,-13
248,2022-07-09,1,2,3,1
249,2022-07-09,2,5,1,-4
250,2022-07-10,1,7,3,-4
251,2022-07-11,1,9,1,-8
252,2022-07-12,1,2,1,-1
253,2022-07-13,1,24,4,-20
254,2022-07-13,2,9,6,-3
255,2022-07-14,1,32,9,-23
256,2022-07-14,2,12,2,-10
257,2022-07-15,1,9,2,-7
258,2022-07-16,1,8,5,-3
259,2022-07-17,1,11,4,-7
260,2022-07-18,1,4,2,-2
261,2022-07-19,1,8,3,-5
262,2022-07-20,1,7,8,1
263,2022-07-21,1,16,4,-12
264,2022-07-22,1,5,4,-1
265,2022-07-23,1,1,2,1
266,2022-07-23,2,6,2,-4
268,2022-07-25,1,7,2,-5
269,2022-07-26,1,7,8,1
270,2022-07-26,2,8,5,-3
271,2022-07-27,1,1,2,1
272,2022-07-28,1,1,1,0
273,2022-07-28,2,2,3,1
274,2022-07-28,3,4,1,-3
275,2022-07-29,1,15,6,-9
