id,date,id_day,negative,positive,sentiment
1,2022-02-14,1,3,23,20
2,2022-02-19,1,9,41,32
3,2022-02-24,1,2,9,7
4,2022-02-25,1,4,14,10
5,2022-02-25,2,7,8,1
6,2022-02-25,3,7,11,4
7,2022-02-26,1,10,7,-3
8,2022-02-26,2,6,11,5
9,2022-02-27,1,2,1,-1
10,2022-02-27,2,10,9,-1
11,2022-02-27,3,1,2,1
12,2022-02-28,1,10,11,1
13,2022-02-28,2,5,8,3
14,2022-03-01,1,5,6,1
15,2022-03-02,1,4,5,1
16,2022-03-03,1,16,6,-10
17,2022-03-03,2,15,10,-5
18,2022-03-04,1,8,7,-1
19,2022-03-04,2,16,14,-2
20,2022-03-05,1,6,14,8
21,2022-03-05,2,14,12,-2
22,2022-03-06,1,7,27,20
23,2022-03-06,2,2,2,0
24,2022-03-07,1,3,18,15
25,2022-03-07,2,4,15,11
26,2022-03-08,1,10,16,6
27,2022-03-08,2,7,12,5
28,2022-03-08,3,5,9,4
29,2022-03-09,1,4,11,7
30,2022-03-09,2,5,20,15
31,2022-03-10,1,3,9,6
32,2022-03-11,1,6,10,4
33,2022-03-11,2,2,10,8
34,2022-03-11,3,4,18,14
35,2022-03-12,1,14,31,17
36,2022-03-12,2,10,22,12
37,2022-03-12,3,13,21,8
38,2022-03-13,1,13,25,12
39,2022-03-14,1,6,18,12
40,2022-03-14,2,8,27,19
41,2022-03-15,1,8,8,0
42,2022-03-15,2,11,16,5
43,2022-03-15,3,8,20,12
44,2022-03-16,1,12,24,12
45,2022-03-16,2,16,19,3
46,2022-03-16,3,8,23,15
47,2022-03-17,1,12,15,3
48,2022-03-17,2,7,15,8
49,2022-03-18,1,8,13,5
50,2022-03-18,2,10,16,6
51,2022-03-19,1,15,22,7
52,2022-03-19,2,5,23,18
53,2022-03-20,1,6,31,25
54,2022-03-20,2,6,5,-1
55,2022-03-21,1,2,21,19
56,2022-03-21,2,7,30,23
57,2022-03-22,1,0,4,4
58,2022-03-22,2,9,14,5
59,2022-03-22,3,27,19,-8
60,2022-03-23,1,2,13,11
61,2022-03-23,2,5,18,13
62,2022-03-23,3,10,12,2
63,2022-03-24,1,15,52,37
64,2022-03-24,2,6,15,9
65,2022-03-24,3,7,24,17
66,2022-03-24,4,2,11,9
67,2022-03-25,1,3,9,6
68,2022-03-25,2,0,14,14
69,2022-03-25,3,12,36,24
70,2022-03-25,4,28,20,-8
71,2022-03-26,1,18,27,9
