doc_id,date,id,id_day,net_sentiment
text1,2022-02-24,1,1,7
text2,2022-02-25,2,1,-3
text3,2022-02-25,3,2,-9
text4,2022-02-25,4,3,-1
text5,2022-02-26,5,1,-8
text6,2022-02-26,6,2,-9
text7,2022-02-27,7,1,0
text8,2022-02-27,8,2,-1
text9,2022-02-27,9,3,6
text10,2022-02-28,10,1,16
text11,2022-02-28,11,2,-2
text12,2022-03-01,12,1,-2
text13,2022-03-02,13,1,-22
text14,2022-03-03,14,1,-57
text15,2022-03-03,15,2,-20
text16,2022-03-04,16,1,-40
text17,2022-03-04,17,2,-17
text18,2022-03-05,18,1,33
text19,2022-03-05,19,2,-45
text20,2022-03-06,20,1,19
text21,2022-03-06,21,2,-20
text22,2022-03-07,22,1,-2
text23,2022-03-07,23,2,-22
text24,2022-03-08,24,1,-25
text25,2022-03-08,25,2,-12
text26,2022-03-08,26,3,-20
text27,2022-03-09,27,1,-4
text28,2022-03-09,28,2,-14
text29,2022-03-10,29,1,-6
text30,2022-03-11,30,1,-37
text31,2022-03-11,31,2,-15
text32,2022-03-11,32,3,51
text33,2022-03-12,33,1,-10
text34,2022-03-12,34,2,11
text35,2022-03-12,35,3,-23
text36,2022-03-13,36,1,-18
text37,2022-03-14,37,1,64
text38,2022-03-14,38,2,46
text39,2022-03-15,39,1,-7
text40,2022-03-15,40,2,-23
text41,2022-03-15,41,3,-1
text42,2022-03-16,42,1,32
text43,2022-03-16,43,2,-36
text44,2022-03-16,44,3,9
text45,2022-03-17,45,1,-10
text46,2022-03-17,46,2,8
text47,2022-03-18,47,1,84
text48,2022-03-18,48,2,13
text49,2022-03-19,49,1,44
text50,2022-03-19,50,2,57
text51,2022-03-20,51,1,34
text52,2022-03-20,52,2,-18
text53,2022-03-21,53,1,39
text54,2022-03-21,54,2,43
text55,2022-03-22,55,1,-7
text56,2022-03-22,56,2,-14
text57,2022-03-22,57,3,-95
text58,2022-03-23,58,1,68
text59,2022-03-23,59,2,26
text60,2022-03-23,60,3,17
text61,2022-03-24,61,1,11
text62,2022-03-24,62,2,3
text63,2022-03-24,63,3,4
text64,2022-03-24,64,4,26
text65,2022-03-25,65,1,-24
text66,2022-03-25,66,2,54
text67,2022-03-25,67,3,54
text68,2022-03-25,68,4,-58
text69,2022-03-26,69,1,3
text70,2022-03-28,70,1,35
text71,2022-03-28,71,2,32
text72,2022-03-29,72,1,-13
text73,2022-03-29,73,2,58
text74,2022-03-30,74,1,-3
text75,2022-03-30,75,2,43
text76,2022-03-31,76,1,-15
text77,2022-03-31,77,2,-4
text78,2022-03-31,78,3,72
text79,2022-04-01,79,1,41
text80,2022-04-02,80,1,21
text81,2022-04-03,81,1,85
text82,2022-04-03,82,2,-100
text83,2022-04-04,83,1,-26
text84,2022-04-05,84,1,-78
text85,2022-04-05,85,2,-51
text86,2022-04-05,86,3,3
text87,2022-04-06,87,1,22
text88,2022-04-06,88,2,-78
text89,2022-04-07,89,1,-41
text90,2022-04-07,90,2,-4
text91,2022-04-07,91,3,-31
text92,2022-04-07,92,4,46
text93,2022-04-08,93,1,-6
text94,2022-04-08,94,2,28
text95,2022-04-09,95,1,65
text96,2022-04-10,96,1,-42
text97,2022-04-11,97,1,-71
text98,2022-04-12,98,1,15
text100,2022-04-13,100,2,6
text101,2022-04-13,101,3,30
text99,2022-04-13,99,1,-34
