doc_id,token
text108,I thank you for this reaction.
text1336,I thank you for your support.
text1813,"Dear Prime Minister Bennett, thank you very much for your support."
text1945,I want to thank you for helping the Ukrainians who found a shelter from this war in your country.
text2236,We thank you for that!
text2338,Italy - thank you for your support!
text2863,I want to thank you for everything!
text3835,And I thank you for understanding that.
text4175,Greetings to all present at this historic World Bank session and thank you for the opportunity to address you today.
text4811,And I thank you for your really effective support of this struggle.
text4975,I would like to thank you for the invitation.
text5236,"On behalf of all Ukrainians, I would like to thank you for this award."
text5929,"First of all, thank you for such kind words, thank you for your arrival, thank you for this support."
text5933,"I am glad to have the opportunity to address you today and, above all, to thank you for all the help that Ukraine has received from the Republic of Latvia and from many ordinary citizens of Latvia."
text6169,"By the way, I want to thank you for talking about these compromises, for striving to find help and support for Ukraine."
text6193,"Of course, I thank you for your efforts together with partners to create green corridors for agricultural exports from Ukraine."
text6203,"I want to thank you for your unity, ability to be united, energetic, to have a future in a strong European Union and to ensure that the developments in the world depend on us."
text6658,And thank you for the opportunity to address you.
text6996,"First of all, I would like to thank you for this opportunity to address both houses of the Parliament of the Czech Republic and absolutely all Czechs in this format today."
text6997,"I would like to thank you for those warm words, strong words of support for our people, me personally, our state, which were heard here today, and for the warmth with which you shelter our forcibly displaced persons."
text7220,"I would like to thank you, dear Mr. Mario Monti, for inviting me."
text7220,"Just before I start, I would like to thank you for our students, for finding opportunities, for finding programs, for helping Ukrainians, temporarily displaced persons, our displaced students."
text7430,"However, I would like to thank you for the medications you sent to our country."
text7462,And thank you for the help with the experience we use to protect our freedom.
text7800,"Ursula, I wish to thank you once again for your leadership in building these powerful and strong historical relations between Ukraine and Europe, which have become our new history, the new common European history of Ukraine."
text8245,I thank you for your help!
text8246,I thank you for your attention!
text8454,I thank you all for participating!
text8610,"I want to thank you and - in your person - the entire Lithuanian people today, on the Day of our Statehood, for the significant, important, heroic support that Ukraine received."
text8719,"A wide range of security issues - thank you for the assistance already given to Ukraine, which effectively protects us on the battlefield."
text9165,"I am very grateful to each of you, thank you for your attention!"
text9428,"I thank you very much for this opportunity, for understanding my situation, the situation of our country."
text9547,I thank you for your attention!
text9614,I thank you for your support!
text9615,I thank you for your attention!
text9845,"Today, our Air Forces did a good job against enemy missiles - thank you for the result!"
text9884,"I thank you for the firmness of the Italian word, for the actions that confirm that word."
text10041,"But it's time to say thank you to the 25th airborne brigade, the 92nd separate mechanized brigade and the 80th airborne assault brigade for their bravery and heroism shown during combat missions."
text10129,I thank you all for this!
text10192,"We thank you for every ""accurate"" and every ""loud""."
text10316,"I want to thank you for the thousands of saved lives, for the security you are returning to us, all Ukrainians."
text10355,The 57th separate motorized infantry brigade - thank you guys for your strength!
text10419,I thank you that we are united in our striving to restore peace and to guarantee peace for any nation that has become a victim of the armed aggression.
text10519,I thank you for your attention!
text10832,I thank you for your attention!
text10884,I thank you for your attention!
text11045,"I thank you for this, thank you for understanding the needs of our people."
text11116,I thank you for the opportunity to present our Ukrainian perspective on how law can guarantee peace.
text11208,I thank your Organization for suspending Russia's observer status.
text11220,I thank you for your attention!
text11275,I thank you for your attention!
text11275,"I thank you for the support, Australia!"
text11365,"First of all, I want to thank you, Charles, and I also want to thank the Czech Presidency for this opportunity and Prime Minister Fiala personally for the invitation to participate in this event."
text11406,"I thank you very much for the adoption of the eighth package of EU sanctions, which includes, in particular, Russian oil."
text11413,I thank you for your attention!
text11413,I thank you for your support!
text11479,I thank you for your attention!
text11592,Thank you Chancellor Scholz for convening this extraordinary G7 summit and thank you to all the countries that supported this initiative and to all the leaders who are here today.
text11605,I thank you for all the help already provided.
text11635,I thank you for your help!
text11684,I thank you for your attention!
text11821,I thank you for your attention!
text11821,I thank you for your great support!
text12099,I thank you for your attention!
