lemma,sentiment,count,impact,category
thank,2,2674,5348,positive
support,2,1646,3292,positive
grateful,3,1011,3033,positive
help,2,1468,2936,positive
glory,2,1234,2468,positive
freedom,2,1163,2326,positive
important,2,1129,2258,positive
peace,2,978,1956,positive
award,3,602,1806,positive
good,3,582,1746,positive
fight,-1,984,-984,negative
evil,-3,369,-1107,negative
enemy,-2,643,-1286,negative
no,-1,1394,-1394,negative
crime,-3,467,-1401,negative
kill,-3,490,-1470,negative
aggression,-2,777,-1554,negative
terror,-3,694,-2082,negative
destroy,-3,1045,-3135,negative
war,-2,2598,-5196,negative
