docname,pre,keyword,post,id,date,id_day
text6,now simply shocked by the meanness and cruelty of the authorities . this is a truly correct response . i,thank you,"for this reaction . thanks to leonid parfyonov , dmitry muratov , yury dud , liya akhedzhakova , valery meladze",6,2022-02-26,2
text9,"job . , we will pay our armed servicemen a hundred thousand hryvnias a month . not to hear """,thank you,""" from them , but to let them know that the country is definitely grateful to them . and it",9,2022-02-27,3
text26,"mark rutte , prime minister of the netherlands . we have a new page in relations with the netherlands .",thank you,for your support . with prime minister of israel bennett . with prime minister of luxembourg bettel and president of,26,2022-03-08,3
text28,"of the united states house of representatives nancy pelosi , with prime minister of the united kingdom boris johnson .",thank you,"for your support , boris . , the partners are fully informed about what is happening in our mariupol .",28,2022-03-09,2
text30,", glory to the nations of europe ! , glory to ukraine ! , glory to our military ! ,",thank you,!,30,2022-03-11,1
text41,", remember this - living . because we want to live . and we strive for peace . , i",thank you,for your support . i am thankful to everyone present in this hall of parliament . to every citizen of,41,2022-03-15,3
text41,"sure that together - and only together - we will defeat all enemies . , glory to ukraine ! ,",thank you,canada !,41,2022-03-15,3
text44,"leader of the world . being the leader of the world means to be the leader of peace . ,",thank you,". , glory to ukraine !",44,2022-03-16,3
text50,"beautiful people , the people of switzerland ! , i am grateful to you for supporting our people . ,",thank you,"for defending freedom together with all those who value it . , this is very important now . nowadays .",50,2022-03-19,2
text52,", dear mr . speaker , members of the knesset . , dear prime minister bennett ,",thank you,"very much for your support . , dear members of the government of the state of israel , all attendees",52,2022-03-20,2
text52,"among the nations are among us . , people of israel , now you have such a choice . ,",thank you,"! , thank you for everything .",52,2022-03-20,2
text52,"among us . , people of israel , now you have such a choice . , thank you ! ,",thank you,for everything .,52,2022-03-20,2
text55,"velyka dymerka , mariupol , lysychansk , severodonetsk , popasna and kreminna . 8 thousand 57 people were rescued .",thank you,"to everyone who did it , who worked for the people . , we also managed to deliver 200 tons",55,2022-03-22,1
text56,". you have wonderful families , you have wonderful children . what life means to you . i want to",thank you,"for helping the ukrainians who found a shelter from this war in your country . , today , there are",56,2022-03-22,2
text59,"as it is now . in our anti-war coalition . at this crucial time for all of us . ,",thank you,"! , arigato gozaimasu ! , glory to ukraine ! , glory to japan !",59,2022-03-23,2
text60,"and gentlemen senators ! , ladies and gentlemen deputies ! , councillors of paris ! , french people ! ,",thank you,"for the honor of speaking to you today . , i am sure that you are well aware of what",60,2022-03-23,3
text60,"and so that people say goodbye to you in a way france said goodbye to the great belmondo . ,",thank you,", france ! , glory to ukraine !",60,2022-03-23,3
text62,"peace immediately . the answers are up to you . , i am thankful to those who help us !",thank you,"! , glory to ukraine !",62,2022-03-24,2
text63,"russia seek peace . , sweden has made a historic decision to provide ukraine with the necessary weapons . we",thank you,"for that ! for your prudence . for your foresight . , sweden supports the sanctions policy . a policy",63,2022-03-24,3
text63,"it's time to adopt it ! , i believe that you will support us in this as well . ,",thank you,", thank you sweden ! , glory to ukraine !",63,2022-03-24,3
text63,"adopt it ! , i believe that you will support us in this as well . , thank you ,",thank you,"sweden ! , glory to ukraine !",63,2022-03-24,3
text64,"it . so , may there be peace ! , i am grateful to everyone who supports us . ,",thank you,". , glory to ukraine !",64,2022-03-24,4
text65,", and who should be in europe . , and what about the european union ? , i want to",thank you,"- you are united , united around us . but i want to say that it was done in one",65,2022-03-25,1
text65,"luxembourg - we understand each other . cyprus - i really believe you are with us . , italy -",thank you,"for your support ! spain - we’ll find common ground . belgium - we will find arguments . austria ,",65,2022-03-25,1
text65,"european union . , and we believe that germany will also be with us at the crucial moment . ,",thank you,"! , glory to ukraine !",65,2022-03-25,1
