docname,pre,keyword,post,id,date,id_day
text6,the war . we know that many in russia are now simply shocked by the meanness and cruelty of the authorities . this is a truly correct response . i,thank you,"for this reaction . thanks to leonid parfyonov , dmitry muratov , yury dud , liya akhedzhakova , valery meladze and thousands , thousands of other russians whose conscience is",6,2022-02-26,2
text26,"not obsolete murderous ambitions . , i spoke today with mark rutte , prime minister of the netherlands . we have a new page in relations with the netherlands .",thank you,for your support . with prime minister of israel bennett . with prime minister of luxembourg bettel and president of france macron . we have support . we have an,26,2022-03-08,3
text28,"der leyen . we also worked and spoke with speaker of the united states house of representatives nancy pelosi , with prime minister of the united kingdom boris johnson .",thank you,"for your support , boris . , the partners are fully informed about what is happening in our mariupol . and about the situation in all other regions of ukraine",28,2022-03-09,2
text41,"history of ukraine , the living history of ukraine . , remember this - living . because we want to live . and we strive for peace . , i",thank you,"for your support . i am thankful to everyone present in this hall of parliament . to every citizen of canada . i'm grateful to you , justin . grateful",41,2022-03-15,3
text50,"to all swiss friends of ukraine ! to all your beautiful people , the people of switzerland ! , i am grateful to you for supporting our people . ,",thank you,"for defending freedom together with all those who value it . , this is very important now . nowadays . at a special time period . , and especially important",50,2022-03-19,2
text52,", dear mr . speaker , members of the knesset . , dear prime minister bennett ,",thank you,"very much for your support . , dear members of the government of the state of israel , all attendees , guests , people of israel ! , the ukrainian",52,2022-03-20,2
text52,". they rescued jews . that is why the righteous among the nations are among us . , people of israel , now you have such a choice . ,",thank you,"! , thank you for everything .",52,2022-03-20,2
text52,". that is why the righteous among the nations are among us . , people of israel , now you have such a choice . , thank you ! ,",thank you,for everything .,52,2022-03-20,2
text55,", donetsk and luhansk regions . vorzel , bucha , velyka dymerka , mariupol , lysychansk , severodonetsk , popasna and kreminna . 8 thousand 57 people were rescued .",thank you,"to everyone who did it , who worked for the people . , we also managed to deliver 200 tons of humanitarian aid . , i spoke today with prime",55,2022-03-22,1
text56,". i saw what family and children mean to you . you have wonderful families , you have wonderful children . what life means to you . i want to",thank you,"for helping the ukrainians who found a shelter from this war in your country . , today , there are more than 70,000 of our people in italy who ,",56,2022-03-22,2
text60,", ladies and gentlemen senators ! , ladies and gentlemen deputies ! , councillors of paris ! , french people ! ,",thank you,"for the honor of speaking to you today . , i am sure that you are well aware of what is happening in ukraine . you know why this is",60,2022-03-23,3
text63,"anti-war coalition . and we must do everything to make russia seek peace . , sweden has made a historic decision to provide ukraine with the necessary weapons . we",thank you,"for that ! for your prudence . for your foresight . , sweden supports the sanctions policy . a policy without which there will be no peace . because the",63,2022-03-24,3
text65,". denmark - i believe we will succeed . , luxembourg - we understand each other . cyprus - i really believe you are with us . , italy -",thank you,"for your support ! spain - we’ll find common ground . belgium - we will find arguments . austria , together with ukrainians , it is an opportunity for you",65,2022-03-25,1
text67,"them were awarded posthumously . , police , rescuers , border guards , special service officials of the state bureau of investigation and employees of the court protection service .",thank you,"to everyone ! , over the past week , our heroic armed forces have dealt powerful blows to the enemy , significant losses . they say that the minister of",67,2022-03-25,3
text68,", dear ambassador herbst , dear ladies and gentlemen . ,",thank you,for having me here . i’m grateful for the chance to talk to you . people of ukraine are grateful to our american friends for all the help you provide,68,2022-03-25,4
text69,"congratulate the national guard of ukraine on its day with great respect . i am sincerely grateful for everything you do to protect the state , to protect ukrainians !",thank you,"for all the steps to victory that will come and that were made possible thanks to you . , today i presented awards to soldiers of the national guard who",69,2022-03-26,1
text76,"! , dear leader of the opposition ! , ladies and gentlemen , members of the government , senators and members of the parliament ! , australian people ! ,",thank you,"for the great honor of speaking to you today . , in may 2016 , thousands of australians gathered at perth airport to see the ukrainian "" mriya "" for",76,2022-03-31,1
text77,"you know very well , my friend mark , that our accession to the european union depends very much on you , on your country . , i want to",thank you,"for everything ! , thank you , the netherlands ! , glory to ukraine !",77,2022-03-31,2
text81,"package . very , very tangible support . we also agree on the strengthening of sanctions against russia . extremely tangible . agreed on joint steps to achieve peace .",thank you,"boris for the leadership ! historical leadership . i'm sure of it . , in the afternoon i held a large meeting with the economic bloc of the cabinet of",81,2022-04-03,1
text85,", dear mrs . president ! , dear mr . secretary general ! , dear members of the security council and other participants of the meeting ! ,",thank you,"for the opportunity . , i am sure that all the representatives of the un member states will hear me today . , yesterday i returned from our city of",85,2022-04-05,2
text86,"dear mr . prime minister ! , dear ladies and gentlemen , deputies and senators ! , dear members of the government ! , dear people of spain ! ,",thank you,"for this opportunity , with great respect from all the ukrainian people to you . , i am addressing you with the hope that you will understand most of all",86,2022-04-05,3
text86,"state that is deliberately destroying our people ? , i know that many of your companies have already stopped financing the russian military machine through taxes . i want to",thank you,", your citizens , and your government . i am grateful to these companies , to your entire state and society for the principled stance on sanctions . , but",86,2022-04-05,3
text88,"irish man and woman . i am grateful for the support of sanctions against russia . i am grateful for the humanitarian and financial support provided to us . ,",thank you,for taking special care of our people who have sought and found safety in your land . just think about it : russia has already left homeless 10 million ukrainians,88,2022-04-06,2
text90,"in our common european home , the european union . i believe in this ! i know it ! , we will win everyone ! but only together ! ,",thank you,"for your support ! , glory to ukraine !",90,2022-04-07,2
text91,"why i believe that you will continue to support ukraine , including on the road to the european union . , on the way to our common peace . ,",thank you,"for your support ! , glory to ukraine !",91,2022-04-07,3
text93,"you to honor the memory of all ukrainian men and women killed by russian soldiers , russian missiles , russian bombs with a moment of silence . . . ,",thank you,". , russia has sent all its combat capable forces from all over their territory up to the far east to seize ukraine . but even they were not enough",93,2022-04-08,1
text100,". speaker ! , dear mrs . prime minister ! , members of the government ! , dear deputies of the riigikogu ! , the people of estonia ! ,",thank you,"for the opportunity to address you today . in circumstances that take us all back to the darkest times of the 20th century . , for thirty years , the",100,2022-04-13,2
text100,"for a very long time . lose any hope for a safe and free life on the continent governed by universally recognized law not by force . , and i",thank you,"for understanding that . , a crowded rally on february 26 with the participation of tens of thousands of estonians in the heart of ancient tallinn on vabaduse square in",100,2022-04-13,2
text105,"rodion sitdikov won the "" gold "" in the shot put . artem lukashuk and ivan heretsun brought ukraine "" silver "" and "" bronze "" in long jump .",thank you,"guys from all of us , from all ukrainians ! , this is always important , and now it is extremely important . to glorify our flag , to perform",105,2022-04-17,1
text105,"and i sincerely congratulate everyone who protects the security of our people , our land from fire . who is at war almost every day even in peacetime . ,",thank you,"for your service ! , thank you for saving us ! , glory to ukraine !",105,2022-04-17,1
text105,"the security of our people , our land from fire . who is at war almost every day even in peacetime . , thank you for your service ! ,",thank you,"for saving us ! , glory to ukraine !",105,2022-04-17,1
text110,"! , dear mrs . managing director kristalina georgieva ! , dear ladies and gentlemen , ministers ! , greetings to all present at this historic world bank session and",thank you,"for the opportunity to address you today . , this sunday i spoke with mrs . kristalina georgieva and heard very important words from her . words about our state",110,2022-04-22,1
text110,", i want one of the next such meetings to take place in ukraine . in one of our cities - maybe in kharkiv - with your support . ,",thank you,"very much for your attention ! , glory to ukraine !",110,2022-04-22,1
text111,"meaningful foreign policy day for ukraine . first , the prime ministers of spain and denmark , two countries that have consistently supported ukraine , have arrived in kyiv .",thank you,". , the two leaders whose presence in kyiv encourages other leaders of the democratic world to think about visits to ukraine , about new gestures of support for our",111,2022-04-22,2
text117,"the destruction of mariupol . , i also thanked okhmatdyt's doctors for their work . for saving lives and trying to restore children's peace of mind under all circumstances .",thank you,"very much , dear doctors . , before delivering the evening address , i traditionally signed a decree awarding our heroes . 243 servicemen of the armed forces of ukraine",117,2022-04-26,1
text118,cities and communities that are now at the epicenter of the struggle for ukraine . that is where the fighting for the future of our people is taking place .,thank you,"to everyone who brings our victory closer ! , i have just signed decrees on awarding our heroes . 173 servicemen of the armed forces of ukraine were awarded state",118,2022-04-27,1
text125,"of albania ! , i am grateful to you for not hesitating who to support in this struggle . you are definitely on the side of freedom and truth .",thank you,"for concrete steps for ukraine . for defense assistance . for supporting sanctions on russia . for taking care of our people and hosting our children , especially in durrës",125,2022-05-03,2
text125,"size , but very small when you have to be bold . and someone is small on the map , but its cordiality is one of the greatest . ,",thank you,", albania ! , thank you for your support . thank you for your cordiality . , glory to ukraine !",125,2022-05-03,2
text125,"you have to be bold . and someone is small on the map , but its cordiality is one of the greatest . , thank you , albania ! ,",thank you,"for your support . thank you for your cordiality . , glory to ukraine !",125,2022-05-03,2
text125,"and someone is small on the map , but its cordiality is one of the greatest . , thank you , albania ! , thank you for your support .",thank you,"for your cordiality . , glory to ukraine !",125,2022-05-03,2
text129,", international institutions - un institutions , whose representatives are here with us now and can be even more effective . because this is for our common freedom . ,",thank you,"for your attention . , glory to ukraine !",129,2022-05-05,2
text130,"is on the shoulders of these brave warriors and their brothers-in-arms that ukraine and , to be honest , the whole of europe are now standing . , and i",thank you,"for your really effective support of this struggle . , bravery is rightly believed the first of human qualities as it guarantees all others . , thank you , britain",130,2022-05-05,3
text131,". because i believe that the more initiatives there are , the more people understand the global nature of these challenges , the global nature of these responses . ,",thank you,"very much for your attention ! , glory to ukraine !",131,2022-05-06,1
text136,", i would like to",thank you,"for the invitation . mr . chancellor , thank you . , i am thankful to all the respected leaders for this opportunity and for the fact that it is",136,2022-05-08,2
text136,", i would like to thank you for the invitation . mr . chancellor ,",thank you,". , i am thankful to all the respected leaders for this opportunity and for the fact that it is happening today , on this day exactly . this is",136,2022-05-08,2
text136,"east of europe . therefore , guarantees the confidence of your people that freedom always wins . , thanks again to every country , to every leader present . ,",thank you,"for your attention ! , glory to ukraine !",136,2022-05-08,2
text142,"i would like to hear from you . , at the end , i can ask the last question . if i get all the information from you . ,",thank you,for your attention !,142,2022-05-11,1
text144,", ladies and gentlemen ! , on behalf of all ukrainians , i would like to",thank you,"for this award . it is a fair and correct gesture to honor with this award all the people of ukraine , because courage is our national trait of character",144,2022-05-12,1
text144,"are all our fighters who died defending ukraine , hence defending europe . i would like to ask you to honor their memory with a moment of silence . ,",thank you,". , the ukrainian people are people who do not spare themselves for the sake of others . this is combat medic diana kukurudziak , who pulled 16 wounded soldiers",144,2022-05-12,1
text144,"this difficult struggle they are not alone , that they are supported by you , by the whole world – free states and free nations of our planet . ,",thank you,"! , thank you for your attention ! , thank you for your support ! , thank you for the award and welcome to ukraine !",144,2022-05-12,1
text144,"are not alone , that they are supported by you , by the whole world – free states and free nations of our planet . , thank you ! ,",thank you,"for your attention ! , thank you for your support ! , thank you for the award and welcome to ukraine !",144,2022-05-12,1
text144,"supported by you , by the whole world – free states and free nations of our planet . , thank you ! , thank you for your attention ! ,",thank you,"for your support ! , thank you for the award and welcome to ukraine !",144,2022-05-12,1
text144,"world – free states and free nations of our planet . , thank you ! , thank you for your attention ! , thank you for your support ! ,",thank you,for the award and welcome to ukraine !,144,2022-05-12,1
text157,"everyone who gave life for ukraine ! , glory to ukraine ! , and definitely the last one . today is three years since i became president of ukraine .",thank you,"for your trust . i am proud to be the president . , love you ! , i will not let you down ! , glory to ukraine !",157,2022-05-20,1
