docname,pre,keyword,post,id,date,id_day
text2,"of all those who died today and during the war in the east of our state live forever . ,",thank you,.,2,2022-02-19,1
text8,now simply shocked by the meanness and cruelty of the authorities . this is a truly correct response . i,thank you,"for this reaction . thanks to leonid parfyonov , dmitry muratov , yury dud , liya akhedzhakova , valery meladze",8,2022-02-26,2
text11,"job . , we will pay our armed servicemen a hundred thousand hryvnias a month . not to hear """,thank you,""" from them , but to let them know that the country is definitely grateful to them . and it",11,2022-02-27,3
text28,"mark rutte , prime minister of the netherlands . we have a new page in relations with the netherlands .",thank you,for your support . with prime minister of israel bennett . with prime minister of luxembourg bettel and president of,28,2022-03-08,3
text30,"of the united states house of representatives nancy pelosi , with prime minister of the united kingdom boris johnson .",thank you,"for your support , boris . , the partners are fully informed about what is happening in our mariupol .",30,2022-03-09,2
text32,", glory to the nations of europe ! , glory to ukraine ! , glory to our military ! ,",thank you,!,32,2022-03-11,1
text43,", remember this - living . because we want to live . and we strive for peace . , i",thank you,for your support . i am thankful to everyone present in this hall of parliament . to every citizen of,43,2022-03-15,3
text43,"sure that together - and only together - we will defeat all enemies . , glory to ukraine ! ,",thank you,canada !,43,2022-03-15,3
text46,"leader of the world . being the leader of the world means to be the leader of peace . ,",thank you,". , glory to ukraine !",46,2022-03-16,3
text52,"beautiful people , the people of switzerland ! , i am grateful to you for supporting our people . ,",thank you,"for defending freedom together with all those who value it . , this is very important now . nowadays .",52,2022-03-19,2
text54,", dear mr . speaker , members of the knesset . , dear prime minister bennett ,",thank you,"very much for your support . , dear members of the government of the state of israel , all attendees",54,2022-03-20,2
text54,"among the nations are among us . , people of israel , now you have such a choice . ,",thank you,"! , thank you for everything .",54,2022-03-20,2
text54,"among us . , people of israel , now you have such a choice . , thank you ! ,",thank you,for everything .,54,2022-03-20,2
text57,"velyka dymerka , mariupol , lysychansk , severodonetsk , popasna and kreminna . 8 thousand 57 people were rescued .",thank you,"to everyone who did it , who worked for the people . , we also managed to deliver 200 tons",57,2022-03-22,1
text58,". you have wonderful families , you have wonderful children . what life means to you . i want to",thank you,"for helping the ukrainians who found a shelter from this war in your country . , today , there are",58,2022-03-22,2
text61,"as it is now . in our anti-war coalition . at this crucial time for all of us . ,",thank you,"! , arigato gozaimasu ! , glory to ukraine ! , glory to japan !",61,2022-03-23,2
text62,"and gentlemen senators ! , ladies and gentlemen deputies ! , councillors of paris ! , french people ! ,",thank you,"for the honor of speaking to you today . , i am sure that you are well aware of what",62,2022-03-23,3
text62,"and so that people say goodbye to you in a way france said goodbye to the great belmondo . ,",thank you,", france ! , glory to ukraine !",62,2022-03-23,3
text64,"peace immediately . the answers are up to you . , i am thankful to those who help us !",thank you,"! , glory to ukraine !",64,2022-03-24,2
text65,"russia seek peace . , sweden has made a historic decision to provide ukraine with the necessary weapons . we",thank you,"for that ! for your prudence . for your foresight . , sweden supports the sanctions policy . a policy",65,2022-03-24,3
text65,"it's time to adopt it ! , i believe that you will support us in this as well . ,",thank you,", thank you sweden ! , glory to ukraine !",65,2022-03-24,3
text65,"adopt it ! , i believe that you will support us in this as well . , thank you ,",thank you,"sweden ! , glory to ukraine !",65,2022-03-24,3
text66,"it . so , may there be peace ! , i am grateful to everyone who supports us . ,",thank you,". , glory to ukraine !",66,2022-03-24,4
text67,", and who should be in europe . , and what about the european union ? , i want to",thank you,"- you are united , united around us . but i want to say that it was done in one",67,2022-03-25,1
text67,"luxembourg - we understand each other . cyprus - i really believe you are with us . , italy -",thank you,"for your support ! spain - we’ll find common ground . belgium - we will find arguments . austria ,",67,2022-03-25,1
text67,"european union . , and we believe that germany will also be with us at the crucial moment . ,",thank you,"! , glory to ukraine !",67,2022-03-25,1
text69,"border guards , special service officials of the state bureau of investigation and employees of the court protection service .",thank you,"to everyone ! , over the past week , our heroic armed forces have dealt powerful blows to the enemy",69,2022-03-25,3
text70,", dear ambassador herbst , dear ladies and gentlemen . ,",thank you,for having me here . i’m grateful for the chance to talk to you . people of ukraine are grateful,70,2022-03-25,4
text71,"great respect . i am sincerely grateful for everything you do to protect the state , to protect ukrainians !",thank you,"for all the steps to victory that will come and that were made possible thanks to you . , today",71,2022-03-26,1
text74,"stop listening to any excuses from official budapest . , i am grateful to denmark for its principled position .",thank you,"to everyone . , i am grateful to your people who help ukraine and help ukrainians . to your companies",74,2022-03-29,1
text76,"we must do everything to ensure that a rock like ukraine is always with europe . only together . ,",thank you,"norway ! , glory to ukraine !",76,2022-03-30,1
text78,"and gentlemen , members of the government , senators and members of the parliament ! , australian people ! ,",thank you,"for the great honor of speaking to you today . , in may 2016 , thousands of australians gathered at",78,2022-03-31,1
