collocation,count,count_nested,length,lambda,z
thank you,337,0,2,6.771182256823425,37.076791532828345
for your,377,0,2,5.004505454837091,32.50814827529267
everyone who,189,0,2,6.2960120302267715,30.90456580389389
to ukraine,213,0,2,3.041166704580598,28.326964948029307
you for,123,0,2,3.07072989874559,24.59727742553411
very much,88,0,2,8.04474121228393,24.045080302189735
to everyone,198,0,2,4.873862116358368,23.544449826743378
your support,87,0,2,3.9544771503898772,22.897424846683712
of the,142,0,2,2.1868793273596374,20.13140509631819
to all,110,0,2,2.85252001517408,20.11592816899697
i thank,51,0,2,4.538876949837141,19.843184910466732
your attention,110,0,2,6.174334199284253,18.019855673792357
it is,29,0,2,5.072353442648064,17.47375784112965
you to,101,0,2,2.184598062497219,17.443401347157234
for the,186,0,2,1.4988900337893778,16.50923496559494
am grateful,22,0,2,6.689492653687635,16.397968493777928
would like,26,0,2,8.819029148275652,15.857357619110468
our people,38,0,2,3.578479078337279,15.763247701977587
in the,81,0,2,2.22178262309345,15.715770232509492
that we,21,0,2,4.595565689405275,15.229087287157402
helps us,19,0,2,4.617817230906252,15.091666878072473
we will,19,0,2,4.35346351794446,14.83622779198114
with us,21,0,2,3.9657846324813195,14.66646109861043
who is,39,0,2,2.8744362350564403,14.557023280848615
who helps,59,0,2,6.04256145326438,14.483253252959862
and i,36,0,2,3.673662481365046,14.159909326532944
will be,14,0,2,4.910556920703053,14.116233153128357
every one,15,0,2,5.265758551523449,13.929963537091488
our country,31,0,2,4.48043612633268,13.910744930926013
who are,31,0,2,3.2248427203117296,13.887813283142034
we have,16,0,2,4.418148626854684,13.861966949468856
we are,18,0,2,3.943705562504403,13.733161820477108
for this,59,0,2,2.425176704160579,13.576147731363502
our soldiers,24,0,2,3.9120237475704362,12.687910220965696
much for,31,0,2,4.623496870273157,12.386394247719334
those who,27,0,2,5.1231179821212205,12.314114105873164
this opportunity,14,0,2,4.453537266637589,12.307744254019465
air defense,10,0,2,6.187716402953875,12.293734399882684
all those,18,0,2,4.467111470660461,12.25930101036351
our warriors,22,0,2,3.677774860233133,12.135866223848614
of our,54,0,2,1.882063820050734,12.019893347411013
national guard,10,0,2,8.949176296085069,11.928615813099155
each and,22,0,2,3.847188481465002,11.911530003905332
as always,7,0,2,6.091359526939643,11.878355410443929
ukraine and,24,0,2,3.072429504127512,11.81215022357938
words about,7,0,2,5.847453726153948,11.740445672653191
long live,13,0,2,9.737562829903519,11.66893290459914
us defend,8,0,2,5.817192610280122,11.64258708804652
on combat,9,0,2,5.4169428622373985,11.594599685047417
am sure,10,0,2,6.296703370743048,11.54766940255384
very important,11,0,2,4.4820820825948235,11.525366607931742
assault brigade,10,0,2,6.7238273694029616,11.483278245190505
dear mr,9,0,2,5.064062310479109,11.455853181315776
kind words,13,0,2,8.32287739587119,11.451824886636752
so much,14,0,2,6.191637575757001,11.265535625606551
eternal memory,7,0,2,8.562272776189133,11.26372481651059
fights for,23,0,2,4.212515334872965,11.255427329022423
all our,36,0,2,2.1226801971404936,11.213863645342535
well done,11,0,2,9.828747072699281,11.181009253296027
one more,6,0,2,5.889418183276035,11.129448463354247
have already,7,0,2,5.591946008769134,11.066997758005366
donetsk region,8,0,2,7.328037060175769,10.94985650428207
live europe,6,0,2,5.8755065578687695,10.911077741733225
every day,9,0,2,4.466838789386305,10.854275561138671
help us,10,0,2,4.090584327191156,10.823080124306127
being with,9,0,2,4.965902799809372,10.788510063907117
together with,9,0,2,4.965902799809372,10.788510063907117
great honor,5,0,2,6.556813786369389,10.745046227795854
are fighting,8,0,2,4.774719294907474,10.648091336029934
border guard,5,0,2,6.233756917260953,10.596285721670228
who works,16,0,2,4.0548803411623044,10.450343520230719
glory to,267,0,2,8.557308777620545,10.433757708262672
more thing,5,0,2,6.813976184532717,10.412749917338644
and every,24,0,2,2.6035051267668,10.393814163016321
thanks again,5,0,2,6.0372910024474695,10.377791234498043
is fighting,9,0,2,4.490791980796393,10.344635233344365
once again,6,0,2,8.370899019230766,10.214765257733024
this year,10,0,2,5.146700035479095,10.156987763038396
i would,32,0,2,6.6492868420383875,10.080186293120631
works for,22,0,2,4.813816047686631,10.069490739655887
who help,16,0,2,3.181878623281342,10.063890016849049
is now,9,0,2,4.0248573637381195,10.03408716145473
victory closer,4,0,2,7.483051676835675,10.017935619710121
to each,26,0,2,3.52104438271436,9.924151685114536
fight against,4,0,2,6.518403648677387,9.876069841275175
madam president,4,0,2,7.304091122578665,9.850818961378016
this is,16,0,2,2.7342378208161473,9.848071143903697
gave their,4,0,2,7.203936842491908,9.805555855581021
you very,14,0,2,3.392955229221531,9.759222633363233
this week,9,0,2,5.039040783113656,9.756939290242407
from russian,6,0,2,4.532703378463966,9.708196531953613
zaporizhzhia direction,5,0,2,7.90142242465045,9.661451251394533
also like,6,0,2,4.49562165392311,9.636809018983131
who fights,33,0,2,6.340684351065631,9.63594760569604
would also,6,0,2,4.476208280345975,9.622311922864911
defense forces,5,0,2,5.30903274539928,9.62064667484516
separate artillery,6,0,2,6.059541209529877,9.614782887239123
our defense,16,0,2,2.922183766050241,9.608432581608685
dear colleagues,10,0,2,6.867456521533228,9.60160104280284
am thankful,7,0,2,6.353517858804933,9.598310102274286
it was,6,0,2,4.4943575982569905,9.549901176437139
both parties,7,0,2,9.460355977353695,9.547205822995437
our heroes,14,0,2,4.315350496814874,9.526729762110733
are now,7,0,2,4.151777488620628,9.52126950964696
sure that,11,0,2,5.856853966021531,9.496738750933321
new history,4,0,2,7.280827057082217,9.494876991901602
united states,4,0,2,6.692615327528451,9.449132152520848
defend freedom,5,0,2,5.055335934151683,9.433080241249296
can be,5,0,2,5.344538148776105,9.410845638525688
warriors of,15,0,2,3.7632304939632073,9.350786882071855
on the,25,0,2,2.365635043006415,9.260609936886317
your strength,14,0,2,3.465918634641259,9.251720801062872
grateful to,26,0,2,4.724842501295919,9.240267308313792
separate mechanized,13,0,2,8.048681781590439,9.199225804211673
these are,6,0,2,4.545639320640621,9.149645720636673
especially mention,3,0,2,7.432549551975523,9.1360168363256
let there,3,0,2,6.796277549282666,9.104058370660942
russian missile,4,0,2,5.836265747344674,9.101107360603418
i also,12,0,2,3.1081369863607735,9.09434614384304
russian war,4,0,2,5.456563329497671,9.061058378587282
during these,3,0,2,7.164143957422239,9.057264713218244
reconnaissance battalion,3,0,2,8.051801134727723,9.037721339727005
be able,6,0,2,6.858180261441314,9.006077038186627
mechanized brigade,11,0,2,7.939266844315334,8.991362116802
the world,25,0,2,4.230246250597654,8.973525437794505
the european,21,0,2,3.5082975452048473,8.970100499581383
our state,13,0,2,3.0978218012419574,8.961140245879845
lives were,3,0,2,6.316421152802571,8.944670295421014
there is,7,0,2,4.270716371340093,8.940023628242685
russian terror,5,0,2,7.028449628205147,8.93874437800595
now fighting,4,0,2,5.071793658905201,8.9259659548838
make russia,3,0,2,6.225378532998628,8.889872495395965
second decision,3,0,2,6.778198200520404,8.839402122327224
always helping,3,0,2,6.064894184669643,8.77674918319768
address you,14,0,2,4.41448510492652,8.773907107661888
named after,5,0,2,8.503361464666384,8.752902490763484
has no,3,0,2,6.362132769083375,8.721640130732684
last year,3,0,2,6.952551587665182,8.65309319482428
russia has,3,0,2,5.815305626043789,8.615840188555604
life saved,3,0,2,6.2406302037853925,8.614970690262032
government officials,3,0,2,8.976272365503746,8.614381319548901
saved lives,3,0,2,6.881021792120462,8.5981547776757
whose lives,3,0,2,6.881021792120462,8.5981547776757
world who,10,0,2,3.76876516359263,8.563421084716012
combat posts,4,0,2,8.639446221744072,8.54472733212497
these days,3,0,2,6.814259581041751,8.544463720152004
prime minister,51,0,2,13.271268437278314,8.53199622811358
live freedom,4,0,2,4.829663936484114,8.446042562733174
fighting for,12,0,2,3.768680512419529,8.429601615489712
such a,5,0,2,4.527530747676725,8.41167700265199
is a,10,0,2,2.8874920267949737,8.410625137662086
for every,27,0,2,2.0314188477448285,8.398859785174068
airborne assault,3,0,2,7.289094650832213,8.361939697404791
you today,12,0,2,2.8404189904225268,8.343554974867695
separate reconnaissance,5,0,2,6.459581733189702,8.321911241335323
the opportunity,18,0,2,2.9314355054726073,8.31773574923479
all the,45,0,2,1.405445196543678,8.313127968235998
protect life,3,0,2,5.553430670173964,8.298166131739698
brigade named,5,0,2,7.833603444765782,8.26959019870404
soldiers of,12,0,2,3.151891248974721,8.228756369606502
signed decrees,3,0,2,8.899240552959238,8.210966450008758
defend ourselves,4,0,2,8.05123470287911,8.204303635845045
fact that,15,0,2,7.033678225484511,8.18147602869476
artillery brigade,7,0,2,7.412976994851762,8.168350762268995
entire lithuanian,3,0,2,8.69849908107976,8.167443065075787
separate assault,4,0,2,4.628353900231556,8.15013612336373
55th zaporizhzhia,2,0,2,7.464014469825604,8.122107439616794
bring stability,2,0,2,7.464014469825604,8.122107439616794
give up,2,0,2,7.464014469825604,8.122107439616794
effective decisions,2,0,2,7.263272987926105,8.099800338823668
than institutions,2,0,2,7.263272987926105,8.099800338823668
they said,2,0,2,7.263272987926105,8.099800338823668
up last,2,0,2,7.715399679533493,8.0968065236998
cooperation next,2,0,2,7.9667848842317275,8.082800032664998
russian aggression,3,0,2,5.71759014964161,8.07377829458689
british parliament,2,0,2,7.096148111814517,8.054764932527032
energy workers,3,0,2,8.388202584911589,8.050020325025216
get through,2,0,2,6.895406619892159,8.038946408490908
it's truly,2,0,2,6.895406619892159,8.038946408490908
making possible,2,0,2,6.895406619892159,8.038946408490908
i want,8,0,2,4.4216016030834435,8.02706724076754
a new,5,0,2,4.145626090630876,8.022758437106004
another step,2,0,2,7.347533331543846,8.018576435865054
equipment provided,2,0,2,7.347533331543846,8.018576435865054
kherson region,3,0,2,6.240063169712715,8.003613228049316
destroyed occupier,2,0,2,6.952976471713636,7.998659536651135
let justice,2,0,2,6.952976471713636,7.998659536651135
who protects,10,0,2,4.52430656118965,7.992896286320581
under any,2,0,2,8.303327892261322,7.968567549272569
