word,n
ukraine,7060
russian,4020
people,3698
russia,3112
war,2634
state,2567
world,2551
today,2480
thank,2074
now,1985
us,1951
ukrainian,1946
one,1915
can,1826
everyone,1715
every,1668
also,1656
europe,1578
defense,1528
ukrainians,1495
day,1477
european,1402
support,1378
country,1334
already,1333
must,1333
region,1299
everything,1294
security,1290
glory,1236
peace,1173
new,1161
freedom,1141
important,1125
time,1073
just,1069
life,1011
grateful,1001
even,953
international,943
work,943
countries,939
help,921
cities,910
occupiers,910
first,892
many,863
want,843
energy,772
aggression,762
know,762
president,750
military,719
need,718
possible,716
together,716
victory,711
sanctions,708
dear,704
terror,697
land,688
like,688
still,679
partners,662
forces,652
warriors,640
well,639
year,633
states,631
weapons,628
united,616
see,615
way,614
territory,612
children,608
full,601
lives,601
kyiv,599
missiles,588
minister,573
terrorist,567
free,565
much,554
particular,547
another,546
always,544
enemy,542
city,530
food,525
power,525
make,524
army,516
entire,515
meeting,515
air,511
right,511
destroyed,503
years,501
situation,495
union,494
kharkiv,492
course,489
without,489
soldiers,486
global,485
become,467
prime,466
necessary,465
protect,465
special,463
whole,463
part,462
take,462
fighting,456
defend,454
scale,448
mr,447
russia's,446
days,443
sure,440
stop,432
general,431
justice,429
separate,428
missile,427
give,426
fight,422
defenders,421
brigade,420
held,417
long,417
really,415
continue,414
good,411
different,410
thousands,409
national,404
troops,393
fact,392
donbas,391
working,391
mariupol,390
return,390
future,386
regions,377
heroes,375
law,375
believe,373
discussed,372
needs,372
end,371
able,369
evil,369
leaders,369
say,368
thanks,368
thing,365
week,364
two,362
nations,361
words,361
place,358
protection,357
actions,354
artillery,354
common,354
destroy,351
great,351
strikes,348
un,348
decision,346
ensure,344
level,343
may,343
history,340
areas,339
done,339
restore,339
killed,336
supply,335
strength,333
nuclear,332
kherson,331
definitely,329
government,328
friends,326
never,326
cooperation,322
leadership,322
eternal,321
political,320
crimea,317
strong,315
system,315
therefore,314
live,312
helps,311
zaporizhzhia,311
difficult,310
armed,309
occupied,306
preparing,306
attention,303
result,303
spoke,303
unity,302
values,302
border,296
decisions,295
donetsk,294
since,293
come,290
order,290
trying,289
real,288
main,286
representatives,286
bring,285
needed,285
steps,285
millions,284
ukraine's,284
service,283
last,282
health,280
memory,280
24,278
attack,278
simply,278
understand,278
next,277
independence,276
something,274
eu,273
crimes,272
sea,272
formula,271
ladies,271
unfortunately,271
provide,270
gentlemen,268
pressure,267
terrorists,267
hundreds,266
win,266
almost,265
economic,265
humanitarian,265
anti,263
get,263
second,263
shelling,262
south,262
clear,261
remember,260
exactly,259
negotiations,258
strengthen,257
address,256
normal,255
summit,254
use,254
february,253
especially,252
powerful,252
reconstruction,252
citizens,251
feel,251
three,250
made,249
intelligence,248
means,248
front,247
invasion,247
package,245
matter,243
communities,242
heard,242
whose,241
frontline,239
invaders,239
step,239
opportunity,236
policy,235
ordinary,234
plant,233
significant,232
threat,232
aggressor,231
combat,230
modern,230
financial,229
number,229
key,228
taken,228
think,228
took,228
save,227
social,227
council,226
person,226
started,226
infrastructure,225
direction,224
institutions,224
crisis,223
path,223
force,222
example,219
guarantee,218
million,217
defending,216
electricity,216
community,215
equipment,215
assistance,214
someone,212
results,211
yet,211
please,210
potential,210
task,210
attacks,209
continues,209
nato,209
human,208
odesa,207
effective,206
awarded,205
completely,205
lose,205
crime,204
business,203
go,203
look,203
companies,202
destruction,202
hundred,202
months,202
initiative,201
left,201
absolutely,200
peaceful,200
relations,200
things,200
including,199
signed,198
thousand,198
gave,197
home,196
honor,196
bakhmut,195
despite,195
hear,195
occupation,195
aircraft,194
foreign,194
least,194
legal,194
used,194
among,193
efforts,193
awards,192
brought,192
fellow,192
point,192
thanked,192
battlefield,191
struggle,190
gas,189
systems,189
ago,188
finally,188
nation,188
positions,188
sky,188
europeans,187
near,187
back,186
old,186
said,186
find,185
put,185
various,185
wants,185
losses,184
increase,183
impossible,182
hit,181
lot,180
market,180
criminal,179
guarantees,179
leave,179
others,179
wish,179
drones,178
enough,178
joint,178
courage,177
opportunities,177
sake,177
soon,177
dozens,176
total,176
called,175
specific,175
start,173
commander,172
grain,172
information,172
works,172
east,171
poland,171
restoration,171
response,170
democracy,169
else,169
strike,169
women,169
obvious,168
question,168
tomorrow,168
conditions,167
tanks,167
villages,167
