id,date,id_day,time,n
1,2022-02-14,1,20H 53M 0S,930
2,2022-02-19,1,18H 14M 0S,2470
3,2022-02-24,1,18H 1M 0S,670
4,2022-02-25,1,1H 10M 0S,659
5,2022-02-25,2,7H 27M 0S,528
6,2022-02-25,3,13H 7M 0S,606
7,2022-02-26,1,38M 0S,612
8,2022-02-26,2,12H 14M 0S,659
9,2022-02-27,1,9H 54M 0S,639
10,2022-02-27,2,10H 21M 0S,476
11,2022-02-27,3,18H 10M 0S,365
12,2022-02-28,1,11H 0M 0S,680
13,2022-02-28,2,23H 48M 0S,689
14,2022-03-01,1,12H 37M 0S,672
15,2022-03-02,1,9H 32M 0S,939
16,2022-03-03,1,1H 14M 0S,1018
17,2022-03-03,2,11H 20M 0S,924
18,2022-03-04,1,11H 21M 0S,826
19,2022-03-04,2,23H 6M 0S,1046
20,2022-03-05,1,11H 22M 0S,905
21,2022-03-05,2,21H 40M 0S,701
22,2022-03-06,1,12H 22M 0S,823
23,2022-03-06,2,23H 9M 0S,793
24,2022-03-07,1,12H 1M 0S,1049
25,2022-03-07,2,23H 42M 0S,1105
26,2022-03-08,1,12H 23M 0S,1007
27,2022-03-08,2,20H 36M 0S,1024
28,2022-03-08,3,23H 36M 0S,958
29,2022-03-09,1,12H 34M 0S,1060
30,2022-03-09,2,23H 56M 0S,820
31,2022-03-10,1,14H 8M 0S,925
32,2022-03-11,1,9M 0S,1336
33,2022-03-11,2,14H 19M 0S,1057
34,2022-03-11,3,19H 26M 0S,1070
35,2022-03-12,1,46M 0S,1524
36,2022-03-12,2,13H 46M 0S,1077
37,2022-03-12,3,19H 21M 0S,1189
38,2022-03-13,1,1H 1M 0S,1378
39,2022-03-14,1,19M 0S,966
40,2022-03-14,2,14H 24M 0S,962
41,2022-03-15,1,1H 29M 0S,1024
42,2022-03-15,2,17H 29M 0S,1280
43,2022-03-15,3,19H 57M 0S,1356
44,2022-03-16,1,1H 46M 0S,1482
45,2022-03-16,2,13H 38M 0S,1088
46,2022-03-16,3,17H 27M 0S,1541
47,2022-03-17,1,1H 5M 0S,1222
48,2022-03-17,2,12H 2M 0S,1307
49,2022-03-18,1,52M 0S,1350
50,2022-03-18,2,15H 35M 0S,1385
51,2022-03-19,1,1H 13M 0S,1319
52,2022-03-19,2,18H 29M 0S,1096
53,2022-03-20,1,2H 33M 0S,1225
54,2022-03-20,2,20H 17M 0S,959
55,2022-03-21,1,49M 0S,819
56,2022-03-21,2,21H 17M 0S,836
57,2022-03-22,1,39M 0S,458
58,2022-03-22,2,13H 35M 0S,1317
59,2022-03-22,3,22H 17M 0S,2133
60,2022-03-23,1,2M 0S,918
61,2022-03-23,2,12H 37M 0S,1499
62,2022-03-23,3,18H 0M 0S,1403
63,2022-03-24,1,18M 0S,1264
64,2022-03-24,2,12H 49M 0S,1194
65,2022-03-24,3,14H 18M 0S,1291
66,2022-03-24,4,17H 21M 0S,1055
67,2022-03-25,1,1H 3M 0S,1378
68,2022-03-25,2,1H 11M 0S,454
69,2022-03-25,3,22H 18M 0S,1410
70,2022-03-25,4,22H 27M 0S,2049
71,2022-03-26,1,23H 31M 0S,1617
72,2022-03-28,1,38M 0S,817
73,2022-03-28,2,23H 55M 0S,1000
74,2022-03-29,1,15H 45M 0S,1552
75,2022-03-29,2,22H 53M 0S,1200
76,2022-03-30,1,17H 22M 0S,1951
77,2022-03-30,2,23H 53M 0S,791
78,2022-03-31,1,11H 38M 0S,1876
79,2022-03-31,2,13H 31M 0S,1929
80,2022-03-31,3,16H 55M 0S,1223
81,2022-04-01,1,5M 0S,1356
82,2022-04-02,1,1H 17M 0S,990
83,2022-04-03,1,5M 0S,1566
84,2022-04-03,2,21H 22M 0S,1382
85,2022-04-04,1,21H 26M 0S,1576
86,2022-04-05,1,38M 0S,1454
87,2022-04-05,2,21H 7M 0S,2065
88,2022-04-05,3,21H 24M 0S,1184
89,2022-04-06,1,16M 0S,927
90,2022-04-06,2,14H 13M 0S,1653
91,2022-04-07,1,30M 0S,1658
92,2022-04-07,2,14H 17M 0S,1500
93,2022-04-07,3,20H 5M 0S,1513
94,2022-04-07,4,23H 39M 0S,1255
95,2022-04-08,1,15H 5M 0S,1931
96,2022-04-08,2,23H 37M 0S,1092
97,2022-04-09,1,22H 27M 0S,1130
98,2022-04-10,1,23H 45M 0S,1171
99,2022-04-11,1,13H 22M 0S,1677
100,2022-04-12,1,7M 0S,1079
101,2022-04-13,1,36M 0S,1466
102,2022-04-13,2,14H 12M 0S,1694
103,2022-04-13,3,23H 6M 0S,789
104,2022-04-14,1,23H 59M 0S,1395
105,2022-04-15,1,23H 31M 0S,1451
106,2022-04-16,1,23H 54M 0S,1250
107,2022-04-17,1,23H 41M 0S,1213
108,2022-04-18,1,23H 15M 0S,1210
109,2022-04-19,1,22H 49M 0S,1210
110,2022-04-20,1,22H 18M 0S,1203
111,2022-04-21,1,20H 50M 0S,1787
112,2022-04-22,1,5M 0S,1615
113,2022-04-22,2,26M 0S,793
114,2022-04-22,3,22H 53M 0S,1118
115,2022-04-24,1,24M 0S,764
116,2022-04-24,2,9H 9M 0S,1222
117,2022-04-25,1,10H 58M 0S,1359
118,2022-04-25,2,23H 7M 0S,1114
119,2022-04-26,1,22H 48M 0S,1552
120,2022-04-27,1,20H 50M 0S,937
121,2022-04-28,1,22H 57M 0S,1058
122,2022-04-29,1,22H 3M 0S,918
123,2022-04-30,1,23H 35M 0S,1110
124,2022-05-01,1,21H 22M 0S,756
125,2022-05-02,1,22H 51M 0S,981
126,2022-05-03,1,15H 11M 0S,1223
127,2022-05-03,2,16H 3M 0S,1320
128,2022-05-03,3,23H 56M 0S,859
129,2022-05-04,1,23H 51M 0S,661
130,2022-05-05,1,45M 0S,780
131,2022-05-05,2,15H 15M 0S,735
132,2022-05-05,3,23H 58M 0S,1211
133,2022-05-06,1,20H 8M 0S,1494
134,2022-05-06,2,20H 48M 0S,990
135,2022-05-06,3,23H 35M 0S,791
